indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-101,D01,2022-12-31,9.27,,,DEPT,
IND-101,D02,2022-12-31,6.97,,,DEPT,
IND-101,D03,2022-12-31,5.36,,,DEPT,
IND-101,D04,2022-12-31,27.23,,,DEPT,
IND-101,D05,2022-12-31,3,,,DEPT,
IND-101,D06,2022-12-31,2.72,,,DEPT,
IND-101,D07,2022-12-31,3.6,,,DEPT,
IND-101,D08,2022-12-31,4.67,,,DEPT,
IND-101,D09,2022-12-31,18.67,,,DEPT,
IND-101,D10,2022-12-31,6.73,,,DEPT,
IND-101,D11,2022-12-31,9.6,,,DEPT,
IND-101,D12,2022-12-31,5.33,,,DEPT,
IND-101,D13,2022-12-31,12.36,,,DEPT,
IND-101,D16,2022-12-31,6.17,,,DEPT,
IND-101,D17,2022-12-31,5.08,,,DEPT,
IND-101,D21,2022-12-31,5.5,,,DEPT,
IND-101,D22,2022-12-31,4.61,,,DEPT,
IND-101,D23,2022-12-31,13.79,,,DEPT,
IND-101,D24,2022-12-31,32,,,DEPT,
IND-101,D25,2022-12-31,12.41,,,DEPT,
IND-101,D27,2022-12-31,4.36,,,DEPT,
IND-101,D28,2022-12-31,8.58,,,DEPT,
IND-101,D29,2022-12-31,11.54,,,DEPT,
IND-101,D2A,2022-12-31,13.16,,,DEPT,
IND-101,D2B,2022-12-31,13.02,,,DEPT,
IND-101,D30,2022-12-31,9.81,,,DEPT,
IND-101,D31,2022-12-31,5.96,,,DEPT,
IND-101,D32,2022-12-31,8.35,,,DEPT,
IND-101,D33,2022-12-31,2.61,,,DEPT,
IND-101,D34,2022-12-31,1.57,,,DEPT,
IND-101,D35,2022-12-31,8.75,,,DEPT,
IND-101,D37,2022-12-31,5.49,,,DEPT,
IND-101,D38,2022-12-31,18.76,,,DEPT,
IND-101,D39,2022-12-31,3.94,,,DEPT,
IND-101,D40,2022-12-31,2.56,,,DEPT,
IND-101,D41,2022-12-31,11.52,,,DEPT,
IND-101,D42,2022-12-31,6.11,,,DEPT,
IND-101,D43,2022-12-31,4.25,,,DEPT,
IND-101,D44,2022-12-31,16.08,,,DEPT,
IND-101,D45,2022-12-31,6.28,,,DEPT,
IND-101,D46,2022-12-31,6.67,,,DEPT,
IND-101,D47,2022-12-31,5.52,,,DEPT,
IND-101,D48,2022-12-31,5.6,,,DEPT,
IND-101,D49,2022-12-31,7.94,,,DEPT,
IND-101,D51,2022-12-31,13.2,,,DEPT,
IND-101,D52,2022-12-31,4.61,,,DEPT,
IND-101,D53,2022-12-31,14.6,,,DEPT,
IND-101,D54,2022-12-31,24.3,,,DEPT,
IND-101,D55,2022-12-31,11.93,,,DEPT,
IND-101,D56,2022-12-31,8.75,,,DEPT,
IND-101,D57,2022-12-31,3.98,,,DEPT,
IND-101,D58,2022-12-31,2.67,,,DEPT,
IND-101,D59,2022-12-31,6.27,,,DEPT,
IND-101,D60,2022-12-31,18.59,,,DEPT,
IND-101,D61,2022-12-31,15.09,,,DEPT,
IND-101,D62,2022-12-31,5.81,,,DEPT,
IND-101,D63,2022-12-31,4.62,,,DEPT,
IND-101,D64,2022-12-31,2.67,,,DEPT,
IND-101,D65,2022-12-31,8.13,,,DEPT,
