indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-200,R84,2022-05-31,74,,,REG,
IND-200,R27,2022-05-31,78,,,REG,
IND-200,R53,2022-05-31,92,,,REG,
IND-200,R24,2022-05-31,85,,,REG,
IND-200,R94,2022-05-31,37,,,REG,
IND-200,R44,2022-05-31,75,,,REG,
IND-200,R01,2022-05-31,86,,,REG,
IND-200,R03,2022-05-31,19,,,REG,
IND-200,R32,2022-05-31,80,,,REG,
IND-200,R11,2022-05-31,82,,,REG,
IND-200,R04,2022-05-31,68,,,REG,
IND-200,R02,2022-05-31,54,,,REG,
IND-200,R06,2022-05-31,6,,,REG,
IND-200,R28,2022-05-31,80,,,REG,
IND-200,R75,2022-05-31,82,,,REG,
IND-200,R76,2022-05-31,75,,,REG,
IND-200,R52,2022-05-31,79,,,REG,
IND-200,R93,2022-05-31,81,,,REG,
IND-200,R84,2023-03-31,,73,,REG,
IND-200,R27,2023-03-31,,81,,REG,
IND-200,R53,2023-03-31,,93,,REG,
IND-200,R24,2023-03-31,,89,,REG,
IND-200,R94,2023-03-31,,37,,REG,
IND-200,R44,2023-03-31,,72,,REG,
IND-200,R01,2023-03-31,,55.00000000000001,,REG,
IND-200,R03,2023-03-31,,33,,REG,
IND-200,R32,2023-03-31,,82,,REG,
IND-200,R11,2023-03-31,,83,,REG,
IND-200,R04,2023-03-31,,79,,REG,
IND-200,R02,2023-03-31,,92,,REG,
IND-200,R06,2023-03-31,,11,,REG,
IND-200,R28,2023-03-31,,79,,REG,
IND-200,R75,2023-03-31,,83,,REG,
IND-200,R76,2023-03-31,,78,,REG,
IND-200,R52,2023-03-31,,82,,REG,
IND-200,R93,2023-03-31,,81,,REG,
IND-200,FRANCE,2022-05-31,69,,,NAT,
IND-200,FRANCE,2023-03-31,,80,,NAT,100
IND-200,FRANCE,2023-12-31,,,74,NAT,
IND-200,FRANCE,2024-12-31,,,76,NAT,
IND-200,FRANCE,2025-12-31,,,78,NAT,
IND-200,FRANCE,2026-12-31,,,80,NAT,
