indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-227,D01,2022-09-01,85.3,85.3,,DEPT,0
IND-227,D02,2022-09-01,77.7,77.7,,DEPT,0
IND-227,D03,2022-09-01,82,82,,DEPT,0
IND-227,D04,2022-09-01,81.2,81.2,,DEPT,0
IND-227,D05,2022-09-01,85.5,85.5,,DEPT,0
IND-227,D06,2022-09-01,81.1,81.1,,DEPT,0
IND-227,D07,2022-09-01,85.9,85.9,,DEPT,0
IND-227,D08,2022-09-01,80.9,80.9,,DEPT,0
IND-227,D09,2022-09-01,83.8,83.8,,DEPT,0
IND-227,D10,2022-09-01,79.7,79.7,,DEPT,0
IND-227,D11,2022-09-01,78.7,78.7,,DEPT,0
IND-227,D12,2022-09-01,85.8,85.8,,DEPT,0
IND-227,D13,2022-09-01,80.2,80.2,,DEPT,0
IND-227,D14,2022-09-01,85.1,85.1,,DEPT,0
IND-227,D15,2022-09-01,84.9,84.9,,DEPT,0
IND-227,D16,2022-09-01,84.9,84.9,,DEPT,0
IND-227,D17,2022-09-01,85.2,85.2,,DEPT,0
IND-227,D18,2022-09-01,83.2,83.2,,DEPT,0
IND-227,D19,2022-09-01,85.8,85.8,,DEPT,0
IND-227,D21,2022-09-01,84.1,84.1,,DEPT,0
IND-227,D22,2022-09-01,86.3,86.3,,DEPT,0
IND-227,D23,2022-09-01,84,84,,DEPT,0
IND-227,D24,2022-09-01,85.1,85.1,,DEPT,0
IND-227,D25,2022-09-01,83.8,83.8,,DEPT,0
IND-227,D26,2022-09-01,84,84,,DEPT,0
IND-227,D27,2022-09-01,83.5,83.5,,DEPT,0
IND-227,D28,2022-09-01,81.4,81.4,,DEPT,0
IND-227,D29,2022-09-01,87.3,87.3,,DEPT,0
IND-227,D2A,2022-09-01,81.3,81.3,,DEPT,0
IND-227,D2B,2022-09-01,80.8,80.8,,DEPT,0
IND-227,D30,2022-09-01,81,81,,DEPT,0
IND-227,D31,2022-09-01,83.1,83.1,,DEPT,0
IND-227,D32,2022-09-01,82.9,82.9,,DEPT,0
IND-227,D33,2022-09-01,84.1,84.1,,DEPT,0
IND-227,D34,2022-09-01,79.7,79.7,,DEPT,0
IND-227,D35,2022-09-01,86.4,86.4,,DEPT,0
IND-227,D36,2022-09-01,84.6,84.6,,DEPT,0
IND-227,D37,2022-09-01,85.4,85.4,,DEPT,0
IND-227,D38,2022-09-01,84,84,,DEPT,0
IND-227,D39,2022-09-01,82,82,,DEPT,0
IND-227,D40,2022-09-01,86.9,86.9,,DEPT,0
IND-227,D41,2022-09-01,83.9,83.9,,DEPT,0
