indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-228,D01,2022-09-01,87.8,87.8,,DEPT,0
IND-228,D02,2022-09-01,78.4,78.4,,DEPT,0
IND-228,D03,2022-09-01,84.4,84.4,,DEPT,0
IND-228,D04,2022-09-01,88.8,88.8,,DEPT,0
IND-228,D05,2022-09-01,90,90,,DEPT,0
IND-228,D06,2022-09-01,85.4,85.4,,DEPT,0
IND-228,D07,2022-09-01,85.9,85.9,,DEPT,0
IND-228,D08,2022-09-01,83.7,83.7,,DEPT,0
IND-228,D09,2022-09-01,82.7,82.7,,DEPT,0
IND-228,D10,2022-09-01,83.6,83.6,,DEPT,0
IND-228,D11,2022-09-01,82.4,82.4,,DEPT,0
IND-228,D12,2022-09-01,89.5,89.5,,DEPT,0
IND-228,D13,2022-09-01,85.7,85.7,,DEPT,0
IND-228,D14,2022-09-01,88,88,,DEPT,0
IND-228,D15,2022-09-01,87.8,87.8,,DEPT,0
IND-228,D16,2022-09-01,83.6,83.6,,DEPT,0
IND-228,D17,2022-09-01,85.3,85.3,,DEPT,0
IND-228,D18,2022-09-01,86.3,86.3,,DEPT,0
IND-228,D19,2022-09-01,86.8,86.8,,DEPT,0
IND-228,D21,2022-09-01,92.3,92.3,,DEPT,0
IND-228,D22,2022-09-01,86.8,86.8,,DEPT,0
IND-228,D23,2022-09-01,83,83,,DEPT,0
IND-228,D24,2022-09-01,85.8,85.8,,DEPT,0
IND-228,D25,2022-09-01,90.6,90.6,,DEPT,0
IND-228,D26,2022-09-01,89.1,89.1,,DEPT,0
IND-228,D27,2022-09-01,83.6,83.6,,DEPT,0
IND-228,D28,2022-09-01,82,82,,DEPT,0
IND-228,D29,2022-09-01,90,90,,DEPT,0
IND-228,D2A,2022-09-01,91.3,91.3,,DEPT,0
IND-228,D2B,2022-09-01,87.6,87.6,,DEPT,0
IND-228,D30,2022-09-01,83.2,83.2,,DEPT,0
IND-228,D31,2022-09-01,86.2,86.2,,DEPT,0
IND-228,D32,2022-09-01,83,83,,DEPT,0
IND-228,D33,2022-09-01,86,86,,DEPT,0
IND-228,D34,2022-09-01,86.4,86.4,,DEPT,0
IND-228,D35,2022-09-01,89.1,89.1,,DEPT,0
IND-228,D36,2022-09-01,85.6,85.6,,DEPT,0
IND-228,D37,2022-09-01,87.4,87.4,,DEPT,0
IND-228,D38,2022-09-01,88.7,88.7,,DEPT,0
IND-228,D39,2022-09-01,88.6,88.6,,DEPT,0
IND-228,D40,2022-09-01,88,88,,DEPT,0
IND-228,D41,2022-09-01,83.1,83.1,,DEPT,0
IND-228,D42,2022-09-01,86.5,86.5,,DEPT,0
IND-228,D43,2022-09-01,90.6,90.6,,DEPT,0
IND-228,D44,2022-09-01,88.3,88.3,,DEPT,0
IND-228,D45,2022-09-01,86.3,86.3,,DEPT,0
IND-228,D46,2022-09-01,86.2,86.2,,DEPT,0
IND-228,D47,2022-09-01,81.2,81.2,,DEPT,0
IND-228,D48,2022-09-01,90.6,90.6,,DEPT,0
IND-228,D49,2022-09-01,87.5,87.5,,DEPT,0
IND-228,D50,2022-09-01,86.8,86.8,,DEPT,0
IND-228,D51,2022-09-01,86.5,86.5,,DEPT,0
IND-228,D52,2022-09-01,86,86,,DEPT,0
IND-228,D53,2022-09-01,88,88,,DEPT,0
IND-228,D54,2022-09-01,88,88,,DEPT,0
IND-228,D55,2022-09-01,87.3,87.3,,DEPT,0
IND-228,D56,2022-09-01,89.8,89.8,,DEPT,0
IND-228,D57,2022-09-01,87.5,87.5,,DEPT,0
IND-228,D58,2022-09-01,85.2,85.2,,DEPT,0
IND-228,D59,2022-09-01,86.1,86.1,,DEPT,0
IND-228,D60,2022-09-01,82.2,82.2,,DEPT,0
IND-228,D61,2022-09-01,84.4,84.4,,DEPT,0
IND-228,D62,2022-09-01,86.1,86.1,,DEPT,0
IND-228,D63,2022-09-01,87.8,87.8,,DEPT,0
IND-228,D64,2022-09-01,86.9,86.9,,DEPT,0
IND-228,D65,2022-09-01,85.3,85.3,,DEPT,0
IND-228,D66,2022-09-01,79.4,79.4,,DEPT,0
IND-228,D67,2022-09-01,88,88,,DEPT,0
IND-228,D68,2022-09-01,88,88,,DEPT,0
IND-228,D69,2022-09-01,88.2,88.2,,DEPT,0
IND-228,D70,2022-09-01,87.4,87.4,,DEPT,0
IND-228,D71,2022-09-01,88.9,88.9,,DEPT,0
IND-228,D72,2022-09-01,81.7,81.7,,DEPT,0
IND-228,D73,2022-09-01,90.5,90.5,,DEPT,0
IND-228,D74,2022-09-01,90,90,,DEPT,0
IND-228,D75,2022-09-01,89.7,89.7,,DEPT,0
IND-228,D76,2022-09-01,84.4,84.4,,DEPT,0
IND-228,D77,2022-09-01,85.3,85.3,,DEPT,0
IND-228,D78,2022-09-01,89.2,89.2,,DEPT,0
IND-228,D79,2022-09-01,85.7,85.7,,DEPT,0
IND-228,D80,2022-09-01,82.6,82.6,,DEPT,0
IND-228,D81,2022-09-01,85.3,85.3,,DEPT,0
IND-228,D82,2022-09-01,81,81,,DEPT,0
IND-228,D83,2022-09-01,88.5,88.5,,DEPT,0
IND-228,D84,2022-09-01,84.8,84.8,,DEPT,0
IND-228,D85,2022-09-01,90.2,90.2,,DEPT,0
IND-228,D86,2022-09-01,83,83,,DEPT,0
IND-228,D87,2022-09-01,86.6,86.6,,DEPT,0
IND-228,D88,2022-09-01,87.6,87.6,,DEPT,0
IND-228,D89,2022-09-01,83.8,83.8,,DEPT,0
IND-228,D90,2022-09-01,90.7,90.7,,DEPT,0
IND-228,D91,2022-09-01,84.1,84.1,,DEPT,0
IND-228,D92,2022-09-01,89.8,89.8,,DEPT,0
IND-228,D93,2022-09-01,78.8,78.8,,DEPT,0
IND-228,D94,2022-09-01,85.3,85.3,,DEPT,0
IND-228,D95,2022-09-01,81.3,81.3,,DEPT,0
IND-228,D971,2022-09-01,70.6,70.6,,DEPT,0
IND-228,D972,2022-09-01,78,78,,DEPT,0
IND-228,D973,2022-09-01,46.9,46.9,,DEPT,0
IND-228,D974,2022-09-01,79.3,79.3,,DEPT,0
IND-228,D976,2022-09-01,51.2,51.2,,DEPT,0
IND-228,D01,2023-12-31,,,88.4,DEPT,
IND-228,D01,2024-12-31,,,89.2,DEPT,
IND-228,D01,2025-12-31,,,90,DEPT,
IND-228,D01,2026-12-31,,,90.9,DEPT,
IND-228,D02,2023-12-31,,,79.4,DEPT,
IND-228,D02,2024-12-31,,,80.9,DEPT,
IND-228,D02,2025-12-31,,,82.4,DEPT,
IND-228,D02,2026-12-31,,,83.8,DEPT,
IND-228,D03,2023-12-31,,,85.1,DEPT,
IND-228,D03,2024-12-31,,,86.2,DEPT,
IND-228,D03,2025-12-31,,,87.3,DEPT,
IND-228,D03,2026-12-31,,,88.3,DEPT,
IND-228,D04,2023-12-31,,,89.3,DEPT,
IND-228,D04,2024-12-31,,,90.1,DEPT,
IND-228,D04,2025-12-31,,,90.9,DEPT,
IND-228,D04,2026-12-31,,,91.6,DEPT,
IND-228,D05,2023-12-31,,,90.5,DEPT,
IND-228,D05,2024-12-31,,,91.2,DEPT,
IND-228,D05,2025-12-31,,,91.8,DEPT,
IND-228,D05,2026-12-31,,,92.5,DEPT,
IND-228,D06,2023-12-31,,,86.1,DEPT,
IND-228,D06,2024-12-31,,,87.1,DEPT,
IND-228,D06,2025-12-31,,,88.1,DEPT,
IND-228,D06,2026-12-31,,,89.1,DEPT,
IND-228,D07,2023-12-31,,,86.6,DEPT,
IND-228,D07,2024-12-31,,,87.5,DEPT,
IND-228,D07,2025-12-31,,,88.5,DEPT,
IND-228,D07,2026-12-31,,,89.4,DEPT,
IND-228,D08,2023-12-31,,,84.5,DEPT,
IND-228,D08,2024-12-31,,,85.6,DEPT,
IND-228,D08,2025-12-31,,,86.7,DEPT,
IND-228,D08,2026-12-31,,,87.8,DEPT,
IND-228,D09,2023-12-31,,,83.5,DEPT,
IND-228,D09,2024-12-31,,,84.7,DEPT,
IND-228,D09,2025-12-31,,,85.9,DEPT,
IND-228,D09,2026-12-31,,,87.1,DEPT,
IND-228,D10,2023-12-31,,,84.4,DEPT,
IND-228,D10,2024-12-31,,,85.5,DEPT,
IND-228,D10,2025-12-31,,,86.6,DEPT,
IND-228,D10,2026-12-31,,,87.7,DEPT,
IND-228,D11,2023-12-31,,,83.2,DEPT,
IND-228,D11,2024-12-31,,,84.4,DEPT,
IND-228,D11,2025-12-31,,,85.6,DEPT,
IND-228,D11,2026-12-31,,,86.8,DEPT,
IND-228,D12,2023-12-31,,,90,DEPT,
IND-228,D12,2024-12-31,,,90.7,DEPT,
IND-228,D12,2025-12-31,,,91.4,DEPT,
IND-228,D12,2026-12-31,,,92.1,DEPT,
IND-228,D13,2023-12-31,,,86.4,DEPT,
IND-228,D13,2024-12-31,,,87.4,DEPT,
IND-228,D13,2025-12-31,,,88.3,DEPT,
IND-228,D13,2026-12-31,,,89.3,DEPT,
IND-228,D14,2023-12-31,,,88.6,DEPT,
IND-228,D14,2024-12-31,,,89.4,DEPT,
IND-228,D14,2025-12-31,,,90.2,DEPT,
IND-228,D14,2026-12-31,,,91,DEPT,
IND-228,D15,2023-12-31,,,88.4,DEPT,
IND-228,D15,2024-12-31,,,89.2,DEPT,
IND-228,D15,2025-12-31,,,90,DEPT,
IND-228,D15,2026-12-31,,,90.9,DEPT,
IND-228,D16,2023-12-31,,,84.4,DEPT,
IND-228,D16,2024-12-31,,,85.5,DEPT,
IND-228,D16,2025-12-31,,,86.6,DEPT,
IND-228,D16,2026-12-31,,,87.7,DEPT,
IND-228,D17,2023-12-31,,,86,DEPT,
IND-228,D17,2024-12-31,,,87,DEPT,
IND-228,D17,2025-12-31,,,88,DEPT,
IND-228,D17,2026-12-31,,,89,DEPT,
IND-228,D18,2023-12-31,,,87,DEPT,
IND-228,D18,2024-12-31,,,87.9,DEPT,
IND-228,D18,2025-12-31,,,88.8,DEPT,
IND-228,D18,2026-12-31,,,89.7,DEPT,
IND-228,D19,2023-12-31,,,87.4,DEPT,
IND-228,D19,2024-12-31,,,88.3,DEPT,
IND-228,D19,2025-12-31,,,89.2,DEPT,
IND-228,D19,2026-12-31,,,90.1,DEPT,
IND-228,D21,2023-12-31,,,92.7,DEPT,
IND-228,D21,2024-12-31,,,93.2,DEPT,
IND-228,D21,2025-12-31,,,93.7,DEPT,
IND-228,D21,2026-12-31,,,94.2,DEPT,
IND-228,D22,2023-12-31,,,87.4,DEPT,
IND-228,D22,2024-12-31,,,88.3,DEPT,
IND-228,D22,2025-12-31,,,89.2,DEPT,
IND-228,D22,2026-12-31,,,90.1,DEPT,
IND-228,D23,2023-12-31,,,83.8,DEPT,
IND-228,D23,2024-12-31,,,85,DEPT,
IND-228,D23,2025-12-31,,,86.1,DEPT,
IND-228,D23,2026-12-31,,,87.3,DEPT,
IND-228,D24,2023-12-31,,,86.5,DEPT,
IND-228,D24,2024-12-31,,,87.4,DEPT,
IND-228,D24,2025-12-31,,,88.4,DEPT,
IND-228,D24,2026-12-31,,,89.4,DEPT,
IND-228,D25,2023-12-31,,,91,DEPT,
IND-228,D25,2024-12-31,,,91.7,DEPT,
IND-228,D25,2025-12-31,,,92.3,DEPT,
IND-228,D25,2026-12-31,,,93,DEPT,
IND-228,D26,2023-12-31,,,89.6,DEPT,
IND-228,D26,2024-12-31,,,90.4,DEPT,
IND-228,D26,2025-12-31,,,91.1,DEPT,
IND-228,D26,2026-12-31,,,91.8,DEPT,
IND-228,D27,2023-12-31,,,84.4,DEPT,
IND-228,D27,2024-12-31,,,85.5,DEPT,
IND-228,D27,2025-12-31,,,86.6,DEPT,
IND-228,D27,2026-12-31,,,87.7,DEPT,
