indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-229,D01,2022-09-01,89.9,89.9,,DEPT,0
IND-229,D02,2022-09-01,86.4,86.4,,DEPT,0
IND-229,D03,2022-09-01,88.7,88.7,,DEPT,0
IND-229,D04,2022-09-01,89.4,89.4,,DEPT,0
IND-229,D05,2022-09-01,89.5,89.5,,DEPT,0
IND-229,D06,2022-09-01,88.9,88.9,,DEPT,0
IND-229,D07,2022-09-01,90.1,90.1,,DEPT,0
IND-229,D08,2022-09-01,90.5,90.5,,DEPT,0
IND-229,D09,2022-09-01,88.1,88.1,,DEPT,0
IND-229,D10,2022-09-01,88.7,88.7,,DEPT,0
IND-229,D11,2022-09-01,87.2,87.2,,DEPT,0
IND-229,D12,2022-09-01,91.5,91.5,,DEPT,0
IND-229,D13,2022-09-01,88.9,88.9,,DEPT,0
IND-229,D14,2022-09-01,90.4,90.4,,DEPT,0
IND-229,D15,2022-09-01,89.8,89.8,,DEPT,0
IND-229,D16,2022-09-01,89.6,89.6,,DEPT,0
IND-229,D17,2022-09-01,89.8,89.8,,DEPT,0
IND-229,D18,2022-09-01,90.5,90.5,,DEPT,0
IND-229,D19,2022-09-01,91.9,91.9,,DEPT,0
IND-229,D21,2022-09-01,90.7,90.7,,DEPT,0
IND-229,D22,2022-09-01,90.1,90.1,,DEPT,0
IND-229,D23,2022-09-01,90.9,90.9,,DEPT,0
IND-229,D24,2022-09-01,91.2,91.2,,DEPT,0
IND-229,D25,2022-09-01,90,90,,DEPT,0
IND-229,D26,2022-09-01,90.5,90.5,,DEPT,0
IND-229,D27,2022-09-01,90.3,90.3,,DEPT,0
IND-229,D28,2022-09-01,88.8,88.8,,DEPT,0
IND-229,D29,2022-09-01,90.6,90.6,,DEPT,0
IND-229,D2A,2022-09-01,89.1,89.1,,DEPT,0
IND-229,D2B,2022-09-01,87.7,87.7,,DEPT,0
IND-229,D30,2022-09-01,89.1,89.1,,DEPT,0
IND-229,D31,2022-09-01,89.4,89.4,,DEPT,0
IND-229,D32,2022-09-01,89.3,89.3,,DEPT,0
IND-229,D33,2022-09-01,89.4,89.4,,DEPT,0
IND-229,D34,2022-09-01,87.8,87.8,,DEPT,0
IND-229,D35,2022-09-01,91.1,91.1,,DEPT,0
IND-229,D36,2022-09-01,92.6,92.6,,DEPT,0
IND-229,D37,2022-09-01,91.3,91.3,,DEPT,0
IND-229,D38,2022-09-01,90.2,90.2,,DEPT,0
IND-229,D39,2022-09-01,89.9,89.9,,DEPT,0
IND-229,D40,2022-09-01,90.9,90.9,,DEPT,0
IND-229,D41,2022-09-01,88.7,88.7,,DEPT,0
IND-229,D42,2022-09-01,90.1,90.1,,DEPT,0
IND-229,D43,2022-09-01,92.1,92.1,,DEPT,0
IND-229,D44,2022-09-01,90.2,90.2,,DEPT,0
IND-229,D45,2022-09-01,90.2,90.2,,DEPT,0
IND-229,D46,2022-09-01,89.7,89.7,,DEPT,0
IND-229,D47,2022-09-01,87.5,87.5,,DEPT,0
IND-229,D48,2022-09-01,89,89,,DEPT,0
