indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-230,D01,2022-09-01,75.8,75.8,,DEPT,0
IND-230,D02,2022-09-01,68.9,68.9,,DEPT,0
IND-230,D03,2022-09-01,73.4,73.4,,DEPT,0
IND-230,D04,2022-09-01,71,71,,DEPT,0
IND-230,D05,2022-09-01,77.8,77.8,,DEPT,0
IND-230,D06,2022-09-01,76.3,76.3,,DEPT,0
IND-230,D07,2022-09-01,74.1,74.1,,DEPT,0
IND-230,D08,2022-09-01,72.2,72.2,,DEPT,0
IND-230,D09,2022-09-01,69.5,69.5,,DEPT,0
IND-230,D10,2022-09-01,74.4,74.4,,DEPT,0
IND-230,D11,2022-09-01,70.3,70.3,,DEPT,0
IND-230,D12,2022-09-01,78.2,78.2,,DEPT,0
IND-230,D13,2022-09-01,76.6,76.6,,DEPT,0
IND-230,D14,2022-09-01,77,77,,DEPT,0
IND-230,D15,2022-09-01,79.5,79.5,,DEPT,0
IND-230,D16,2022-09-01,67.2,67.2,,DEPT,0
IND-230,D17,2022-09-01,72.7,72.7,,DEPT,0
IND-230,D18,2022-09-01,76.2,76.2,,DEPT,0
IND-230,D19,2022-09-01,77.2,77.2,,DEPT,0
IND-230,D21,2022-09-01,80.5,80.5,,DEPT,0
IND-230,D22,2022-09-01,73.8,73.8,,DEPT,0
IND-230,D23,2022-09-01,73.9,73.9,,DEPT,0
IND-230,D24,2022-09-01,74.7,74.7,,DEPT,0
IND-230,D25,2022-09-01,76.5,76.5,,DEPT,0
IND-230,D26,2022-09-01,75.6,75.6,,DEPT,0
IND-230,D27,2022-09-01,72.3,72.3,,DEPT,0
IND-230,D28,2022-09-01,72.5,72.5,,DEPT,0
IND-230,D29,2022-09-01,77,77,,DEPT,0
IND-230,D2A,2022-09-01,77.1,77.1,,DEPT,0
IND-230,D2B,2022-09-01,74.2,74.2,,DEPT,0
IND-230,D30,2022-09-01,71.8,71.8,,DEPT,0
IND-230,D31,2022-09-01,77.7,77.7,,DEPT,0
IND-230,D32,2022-09-01,72.9,72.9,,DEPT,0
IND-230,D33,2022-09-01,76,76,,DEPT,0
IND-230,D34,2022-09-01,75.1,75.1,,DEPT,0
IND-230,D35,2022-09-01,77.8,77.8,,DEPT,0
IND-230,D36,2022-09-01,73.7,73.7,,DEPT,0
IND-230,D37,2022-09-01,77.1,77.1,,DEPT,0
IND-230,D38,2022-09-01,78.1,78.1,,DEPT,0
IND-230,D39,2022-09-01,73.6,73.6,,DEPT,0
IND-230,D40,2022-09-01,78,78,,DEPT,0
IND-230,D41,2022-09-01,72.6,72.6,,DEPT,0
IND-230,D42,2022-09-01,76.6,76.6,,DEPT,0
IND-230,D43,2022-09-01,79.3,79.3,,DEPT,0
IND-230,D44,2022-09-01,78.2,78.2,,DEPT,0
IND-230,D45,2022-09-01,75.9,75.9,,DEPT,0
IND-230,D46,2022-09-01,72.4,72.4,,DEPT,0
IND-230,D47,2022-09-01,70.4,70.4,,DEPT,0
IND-230,D48,2022-09-01,77.4,77.4,,DEPT,0
IND-230,D49,2022-09-01,75.4,75.4,,DEPT,0
IND-230,D50,2022-09-01,73.2,73.2,,DEPT,0
IND-230,D51,2022-09-01,75.7,75.7,,DEPT,0
IND-230,D52,2022-09-01,77.3,77.3,,DEPT,0
IND-230,D53,2022-09-01,73.5,73.5,,DEPT,0
