indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-278,R84,2021-12-31,62,62,,REG,0
IND-278,R27,2021-12-31,82,82,,REG,0
IND-278,R53,2021-12-31,77,77,,REG,0
IND-278,R24,2021-12-31,63,63,,REG,0
IND-278,R94,2021-12-31,55,55,,REG,0
IND-278,R44,2021-12-31,64,64,,REG,0
IND-278,R01,2021-12-31,31,31,,REG,0
IND-278,R03,2021-12-31,10,10,,REG,0
IND-278,R32,2021-12-31,67,67,,REG,0
IND-278,R11,2021-12-31,49,49,,REG,0
IND-278,R04,2021-12-31,34,34,,REG,0
IND-278,R02,2021-12-31,35,35,,REG,0
IND-278,R28,2021-12-31,61,61,,REG,0
IND-278,R75,2021-12-31,74,74,,REG,0
IND-278,R76,2021-12-31,61,61,,REG,0
IND-278,R52,2021-12-31,80,80,,REG,0
IND-278,R93,2021-12-31,44,44,,REG,0
IND-278,R84,2023-12-31,,,71.00000000000001,REG,
IND-278,R84,2024-12-31,,,75.50000000000001,REG,
IND-278,R84,2025-12-31,,,80,REG,
IND-278,R84,2026-12-31,,,83.60000000000001,REG,
IND-278,R27,2023-12-31,,,86,REG,
IND-278,R27,2024-12-31,,,88,REG,
IND-278,R27,2025-12-31,,,90,REG,
IND-278,R27,2026-12-31,,,91.60000000000001,REG,
IND-278,R53,2023-12-31,,,83.5,REG,
IND-278,R53,2024-12-31,,,86.75,REG,
IND-278,R53,2025-12-31,,,90,REG,
IND-278,R53,2026-12-31,,,92.60000000000001,REG,
IND-278,R24,2023-12-31,,,74,REG,
IND-278,R24,2024-12-31,,,79.5,REG,
IND-278,R24,2025-12-31,,,85,REG,
IND-278,R24,2026-12-31,,,89.4,REG,
IND-278,R94,2023-12-31,,,65.00000000000001,REG,
IND-278,R94,2024-12-31,,,70.00000000000001,REG,
IND-278,R94,2025-12-31,,,75,REG,
IND-278,R94,2026-12-31,,,79,REG,
IND-278,R44,2023-12-31,,,72.00000000000001,REG,
IND-278,R44,2024-12-31,,,76.00000000000001,REG,
IND-278,R44,2025-12-31,,,80,REG,
IND-278,R44,2026-12-31,,,83.2,REG,
IND-278,R01,2023-12-31,,,35.50000000000001,REG,
IND-278,R01,2024-12-31,,,37.75000000000001,REG,
IND-278,R01,2025-12-31,,,40,REG,
IND-278,R01,2026-12-31,,,41.800000000000004,REG,
IND-278,R03,2023-12-31,,,22.5,REG,
IND-278,R03,2024-12-31,,,28.749999999999996,REG,
IND-278,R03,2025-12-31,,,35,REG,
IND-278,R03,2026-12-31,,,40,REG,
IND-278,R32,2023-12-31,,,73.5,REG,
IND-278,R32,2024-12-31,,,76.75,REG,
IND-278,R32,2025-12-31,,,80,REG,
IND-278,R32,2026-12-31,,,82.60000000000001,REG,
IND-278,R11,2023-12-31,,,54.49999999999999,REG,
IND-278,R11,2024-12-31,,,57.24999999999999,REG,
IND-278,R11,2025-12-31,,,60,REG,
IND-278,R11,2026-12-31,,,62.2,REG,
IND-278,R04,2023-12-31,,,42,REG,
IND-278,R04,2024-12-31,,,46,REG,
IND-278,R04,2025-12-31,,,50,REG,
IND-278,R04,2026-12-31,,,53.2,REG,
IND-278,R02,2023-12-31,,,40,REG,
IND-278,R02,2024-12-31,,,42.50000000000001,REG,
IND-278,R02,2025-12-31,,,45,REG,
IND-278,R02,2026-12-31,,,47,REG,
IND-278,R28,2023-12-31,,,70.5,REG,
IND-278,R28,2024-12-31,,,75.25,REG,
IND-278,R28,2025-12-31,,,80,REG,
IND-278,R28,2026-12-31,,,83.80000000000001,REG,
IND-278,R75,2023-12-31,,,82,REG,
IND-278,R75,2024-12-31,,,86.00000000000001,REG,
IND-278,R75,2025-12-31,,,90,REG,
IND-278,R75,2026-12-31,,,93.2,REG,
IND-278,R76,2023-12-31,,,70.5,REG,
IND-278,R76,2024-12-31,,,75.25,REG,
IND-278,R76,2025-12-31,,,80,REG,
IND-278,R76,2026-12-31,,,83.80000000000001,REG,
IND-278,R52,2023-12-31,,,85.00000000000001,REG,
IND-278,R52,2024-12-31,,,87.50000000000001,REG,
IND-278,R52,2025-12-31,,,90,REG,
IND-278,R52,2026-12-31,,,92,REG,
IND-278,R93,2023-12-31,,,54.50000000000001,REG,
IND-278,R93,2024-12-31,,,59.75,REG,
IND-278,R93,2025-12-31,,,65,REG,
IND-278,R93,2026-12-31,,,69.2,REG,
IND-278,R06,2021-12-31,,,,REG,0
IND-278,FRANCE,2021-12-31,61,61,,NAT,0
IND-278,FRANCE,2023-12-31,,,69,NAT,
IND-278,FRANCE,2024-12-31,,,73,NAT,
IND-278,FRANCE,2025-12-31,,,77,NAT,
IND-278,FRANCE,2026-12-31,,,80.25,NAT,
