indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-286,R84,2022-12-31,969,969,,REG,0
IND-286,R27,2022-12-31,399,399,,REG,0
IND-286,R53,2022-12-31,516,516,,REG,0
IND-286,R24,2022-12-31,319,319,,REG,0
IND-286,R94,2022-12-31,50,50,,REG,0
IND-286,R44,2022-12-31,708,708,,REG,0
IND-286,R01,2022-12-31,18,18,,REG,0
IND-286,R03,2022-12-31,5,5,,REG,0
IND-286,R32,2022-12-31,686,686,,REG,0
IND-286,R11,2022-12-31,800,800,,REG,0
IND-286,R04,2022-12-31,48,48,,REG,0
IND-286,R02,2022-12-31,18,18,,REG,0
IND-286,R06,2022-12-31,1,1,,REG,0
IND-286,R28,2022-12-31,401,401,,REG,0
IND-286,R75,2022-12-31,809,809,,REG,0
IND-286,R76,2022-12-31,677,677,,REG,0
IND-286,R52,2022-12-31,548,548,,REG,0
IND-286,R93,2022-12-31,496,496,,REG,0
IND-286,R84,2023-12-31,,,1300,REG,
IND-286,R84,2024-12-31,,,1878,REG,
IND-286,R84,2025-12-31,,,2215,REG,
IND-286,R84,2026-12-31,,,2601,REG,
IND-286,R27,2023-12-31,,,497,REG,
IND-286,R27,2024-12-31,,,718,REG,
IND-286,R27,2025-12-31,,,847,REG,
IND-286,R27,2026-12-31,,,994,REG,
IND-286,R53,2023-12-31,,,683,REG,
IND-286,R53,2024-12-31,,,987,REG,
IND-286,R53,2025-12-31,,,1164,REG,
IND-286,R53,2026-12-31,,,1367,REG,
IND-286,R24,2023-12-31,,,434,REG,
IND-286,R24,2024-12-31,,,626,REG,
IND-286,R24,2025-12-31,,,739,REG,
IND-286,R24,2026-12-31,,,867,REG,
IND-286,R94,2023-12-31,,,73,REG,
IND-286,R94,2024-12-31,,,106,REG,
IND-286,R94,2025-12-31,,,125,REG,
IND-286,R94,2026-12-31,,,146,REG,
IND-286,R44,2023-12-31,,,928,REG,
IND-286,R44,2024-12-31,,,1341,REG,
IND-286,R44,2025-12-31,,,1582,REG,
IND-286,R44,2026-12-31,,,1857,REG,
IND-286,R01,2023-12-31,,,50,REG,
IND-286,R01,2024-12-31,,,73,REG,
IND-286,R01,2025-12-31,,,86,REG,
IND-286,R01,2026-12-31,,,101,REG,
IND-286,R03,2023-12-31,,,20,REG,
IND-286,R03,2024-12-31,,,29,REG,
IND-286,R03,2025-12-31,,,34,REG,
IND-286,R03,2026-12-31,,,40,REG,
IND-286,R32,2023-12-31,,,988,REG,
IND-286,R32,2024-12-31,,,1427,REG,
IND-286,R32,2025-12-31,,,1684,REG,
IND-286,R32,2026-12-31,,,1976,REG,
IND-286,R11,2023-12-31,,,1414,REG,
IND-286,R11,2024-12-31,,,2042,REG,
IND-286,R11,2025-12-31,,,2409,REG,
IND-286,R11,2026-12-31,,,2828,REG,
IND-286,R04,2023-12-31,,,110,REG,
IND-286,R04,2024-12-31,,,158,REG,
IND-286,R04,2025-12-31,,,187,REG,
IND-286,R04,2026-12-31,,,219,REG,
IND-286,R02,2023-12-31,,,43,REG,
IND-286,R02,2024-12-31,,,62,REG,
IND-286,R02,2025-12-31,,,73,REG,
IND-286,R02,2026-12-31,,,85,REG,
IND-286,R06,2023-12-31,,,19,REG,
IND-286,R06,2024-12-31,,,27,REG,
IND-286,R06,2025-12-31,,,32,REG,
IND-286,R06,2026-12-31,,,38,REG,
IND-286,R28,2023-12-31,,,597,REG,
IND-286,R28,2024-12-31,,,862,REG,
IND-286,R28,2025-12-31,,,1017,REG,
IND-286,R28,2026-12-31,,,1194,REG,
IND-286,R75,2023-12-31,,,1114,REG,
IND-286,R75,2024-12-31,,,1609,REG,
IND-286,R75,2025-12-31,,,1898,REG,
IND-286,R75,2026-12-31,,,2228,REG,
IND-286,R76,2023-12-31,,,992,REG,
IND-286,R76,2024-12-31,,,1433,REG,
IND-286,R76,2025-12-31,,,1691,REG,
IND-286,R76,2026-12-31,,,1985,REG,
IND-286,R52,2023-12-31,,,687,REG,
IND-286,R52,2024-12-31,,,992,REG,
IND-286,R52,2025-12-31,,,1170,REG,
IND-286,R52,2026-12-31,,,1374,REG,
IND-286,R93,2023-12-31,,,851,REG,
IND-286,R93,2024-12-31,,,1229,REG,
IND-286,R93,2025-12-31,,,1449,REG,
IND-286,R93,2026-12-31,,,1701,REG,
IND-286,FRANCE,2022-12-31,7466,7466,,NAT,0
IND-286,FRANCE,2023-12-31,,,10799.999999999998,NAT,
IND-286,FRANCE,2024-12-31,,,15600,NAT,
IND-286,FRANCE,2025-12-31,,,18400.000000000004,NAT,
IND-286,FRANCE,2026-12-31,,,21599.999999999996,NAT,
