indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-292,D01,2022-12-31,16225,,,DEPT,
IND-292,D02,2022-12-31,18905,,,DEPT,
IND-292,D03,2022-12-31,12912,,,DEPT,
IND-292,D04,2022-12-31,4419,,,DEPT,
IND-292,D05,2022-12-31,3486,,,DEPT,
IND-292,D06,2022-12-31,5794,,,DEPT,
IND-292,D07,2022-12-31,12037,,,DEPT,
IND-292,D08,2022-12-31,9917,,,DEPT,
IND-292,D09,2022-12-31,6575,,,DEPT,
IND-292,D10,2022-12-31,10307,,,DEPT,
IND-292,D11,2022-12-31,10787,,,DEPT,
IND-292,D12,2022-12-31,12260,,,DEPT,
IND-292,D13,2022-12-31,17971,,,DEPT,
IND-292,D14,2022-12-31,19449,,,DEPT,
IND-292,D15,2022-12-31,6095,,,DEPT,
IND-292,D16,2022-12-31,12857,,,DEPT,
IND-292,D17,2022-12-31,19675,,,DEPT,
IND-292,D18,2022-12-31,9493,,,DEPT,
IND-292,D19,2022-12-31,9212,,,DEPT,
IND-292,D21,2022-12-31,13985,,,DEPT,
IND-292,D22,2022-12-31,22922,,,DEPT,
IND-292,D23,2022-12-31,5642,,,DEPT,
IND-292,D24,2022-12-31,16029,,,DEPT,
IND-292,D25,2022-12-31,15376,,,DEPT,
IND-292,D26,2022-12-31,16605,,,DEPT,
IND-292,D27,2022-12-31,17310,,,DEPT,
IND-292,D28,2022-12-31,12809,,,DEPT,
IND-292,D29,2022-12-31,34729,,,DEPT,
IND-292,D2A,2022-12-31,1055,,,DEPT,
IND-292,D2B,2022-12-31,1864,,,DEPT,
IND-292,D30,2022-12-31,21137,,,DEPT,
IND-292,D31,2022-12-31,23173,,,DEPT,
IND-292,D32,2022-12-31,7612,,,DEPT,
IND-292,D33,2022-12-31,27274,,,DEPT,
IND-292,D34,2022-12-31,19579,,,DEPT,
IND-292,D35,2022-12-31,24380,,,DEPT,
IND-292,D36,2022-12-31,7742,,,DEPT,
IND-292,D37,2022-12-31,12964,,,DEPT,
IND-292,D38,2022-12-31,30100,,,DEPT,
