indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-297,D01,2022-06-01,3.038503,,,DEPT,
IND-297,D02,2022-06-01,6.619747,,,DEPT,
IND-297,D03,2022-06-01,4.903795,,,DEPT,
IND-297,D04,2022-06-01,3.393718,,,DEPT,
IND-297,D05,2022-06-01,4.0096,,,DEPT,
IND-297,D06,2022-06-01,4.496747,,,DEPT,
IND-297,D07,2022-06-01,3.748724,,,DEPT,
IND-297,D08,2022-06-01,4.390555,,,DEPT,
IND-297,D09,2022-06-01,3.580877,,,DEPT,
IND-297,D10,2022-06-01,4.860955,,,DEPT,
IND-297,D11,2022-06-01,2.8128,,,DEPT,
IND-297,D12,2022-06-01,4.580807,,,DEPT,
IND-297,D13,2022-06-01,2.703881,,,DEPT,
IND-297,D14,2022-06-01,6.251304,,,DEPT,
IND-297,D15,2022-06-01,3.056508,,,DEPT,
IND-297,D16,2022-06-01,2.103203,,,DEPT,
IND-297,D17,2022-06-01,5.808344,,,DEPT,
IND-297,D18,2022-06-01,3.214908,,,DEPT,
IND-297,D19,2022-06-01,2.708876,,,DEPT,
IND-297,D21,2022-06-01,3.663679,,,DEPT,
IND-297,D22,2022-06-01,3.600171,,,DEPT,
IND-297,D23,2022-06-01,7.015651,,,DEPT,
IND-297,D24,2022-06-01,7.053383,,,DEPT,
IND-297,D25,2022-06-01,3.384863,,,DEPT,
IND-297,D26,2022-06-01,4.027844,,,DEPT,
IND-297,D27,2022-06-01,4.178072,,,DEPT,
IND-297,D28,2022-06-01,4.328643,,,DEPT,
IND-297,D29,2022-06-01,4.396996,,,DEPT,
IND-297,D30,2022-06-01,3.583594,,,DEPT,
IND-297,D31,2022-06-01,5.25773,,,DEPT,
IND-297,D32,2022-06-01,3.587694,,,DEPT,
IND-297,D33,2022-06-01,5.701932,,,DEPT,
IND-297,D34,2022-06-01,4.067591,,,DEPT,
IND-297,D35,2022-06-01,10.900611,,,DEPT,
IND-297,D36,2022-06-01,3.787829,,,DEPT,
IND-297,D37,2022-06-01,3.999382,,,DEPT,
IND-297,D38,2022-06-01,7.715255,,,DEPT,
IND-297,D39,2022-06-01,2.843532,,,DEPT,
IND-297,D40,2022-06-01,3.778097,,,DEPT,
IND-297,D41,2022-06-01,11.387597,,,DEPT,
IND-297,D42,2022-06-01,7.799139,,,DEPT,
IND-297,D43,2022-06-01,2.531835,,,DEPT,
IND-297,D44,2022-06-01,4.549176,,,DEPT,
IND-297,D45,2022-06-01,7.52336,,,DEPT,
IND-297,D47,2022-06-01,3.673005,,,DEPT,
IND-297,D48,2022-06-01,3.8,,,DEPT,
IND-297,D49,2022-06-01,3.216734,,,DEPT,
IND-297,D50,2022-06-01,10.969629,,,DEPT,
IND-297,D51,2022-06-01,2.585548,,,DEPT,
IND-297,D52,2022-06-01,3.417419,,,DEPT,
IND-297,D53,2022-06-01,5.213358,,,DEPT,
IND-297,D54,2022-06-01,3.9,,,DEPT,
IND-297,D55,2022-06-01,1.866134,,,DEPT,
IND-297,D56,2022-06-01,5.166169,,,DEPT,
IND-297,D57,2022-06-01,3.073257,,,DEPT,
IND-297,D58,2022-06-01,3.833287,,,DEPT,
IND-297,D59,2022-06-01,2.313921,,,DEPT,
IND-297,D60,2022-06-01,3.472685,,,DEPT,
IND-297,D61,2022-06-01,4.72822,,,DEPT,
IND-297,D62,2022-06-01,3.251301,,,DEPT,
IND-297,D63,2022-06-01,5.13495,,,DEPT,
IND-297,D64,2022-06-01,4.788003,,,DEPT,
IND-297,D65,2022-06-01,2.676952,,,DEPT,
IND-297,D66,2022-06-01,3.954192,,,DEPT,
IND-297,D67,2022-06-01,4.602885,,,DEPT,
IND-297,D68,2022-06-01,3.377162,,,DEPT,
IND-297,D69,2022-06-01,4.5,,,DEPT,
IND-297,D70,2022-06-01,4.441506,,,DEPT,
IND-297,D71,2022-06-01,2.749323,,,DEPT,
IND-297,D72,2022-06-01,3.605381,,,DEPT,
IND-297,D73,2022-06-01,3.369242,,,DEPT,
IND-297,D74,2022-06-01,3.632614,,,DEPT,
IND-297,D75,2022-06-01,4.474885,,,DEPT,
IND-297,D76,2022-06-01,4.261548,,,DEPT,
IND-297,D77,2022-06-01,3.947133,,,DEPT,
IND-297,D78,2022-06-01,3.732315,,,DEPT,
IND-297,D79,2022-06-01,2.886483,,,DEPT,
IND-297,D80,2022-06-01,3.107283,,,DEPT,
IND-297,D81,2022-06-01,2.796397,,,DEPT,
IND-297,D82,2022-06-01,2.303049,,,DEPT,
IND-297,D83,2022-06-01,4.71049,,,DEPT,
IND-297,D84,2022-06-01,3.730841,,,DEPT,
IND-297,D85,2022-06-01,4.441854,,,DEPT,
IND-297,D86,2022-06-01,4.302745,,,DEPT,
IND-297,D87,2022-06-01,3.620286,,,DEPT,
IND-297,D88,2022-06-01,3.741144,,,DEPT,
IND-297,D89,2022-06-01,5.040009,,,DEPT,
IND-297,D90,2022-06-01,2.849369,,,DEPT,
IND-297,D91,2022-06-01,6.1,,,DEPT,
IND-297,D92,2022-06-01,4.6,,,DEPT,
IND-297,D93,2022-06-01,7.787244,,,DEPT,
IND-297,D94,2022-06-01,9.319262,,,DEPT,
IND-297,D95,2022-06-01,4.091962,,,DEPT,
IND-297,D971,2022-06-01,7.868561,,,DEPT,
IND-297,D972,2022-06-01,5.07941,,,DEPT,
IND-297,D973,2022-06-01,6.306134,,,DEPT,
IND-297,D974,2022-06-01,5.004599,,,DEPT,
IND-297,D976,2022-06-01,2.5,,,DEPT,
IND-297,D01,2022-12-31,,2.53888974611577,,DEPT,100
IND-297,D02,2022-12-31,,3.18702743007478,,DEPT,94.83313529716911
IND-297,D03,2022-12-31,,6.28283473116199,,DEPT,0
IND-297,D04,2022-12-31,,3.45528860790652,,DEPT,0
IND-297,D05,2022-12-31,,5.10646506129052,,DEPT,0
IND-297,D06,2022-12-31,,3.2426982588185,,DEPT,83.78495104259439
IND-297,D07,2022-12-31,,4.75211326221727,,DEPT,0
IND-297,D08,2022-12-31,,5.36960985626283,,DEPT,0
IND-297,D09,2022-12-31,,3.78325074696603,,DEPT,0
IND-297,D10,2022-12-31,,6.3758521560575,,DEPT,0
IND-297,D11,2022-12-31,,2.92610786661929,,DEPT,100
IND-297,D12,2022-12-31,,5.49081451060917,,DEPT,0
IND-297,D13,2022-12-31,,3.52695192426484,,DEPT,0
IND-297,D14,2022-12-31,,7.18654580057094,,DEPT,0
IND-297,D15,2022-12-31,,3.06065949993961,,DEPT,0
IND-297,D16,2022-12-31,,2.93718990401148,,DEPT,100
IND-297,D17,2022-12-31,,5.93515708273673,,DEPT,0
IND-297,D18,2022-12-31,,3.50271904686689,,DEPT,0
IND-297,D19,2022-12-31,,3.76807003887569,,DEPT,0
IND-297,D21,2022-12-31,,3.93457993911925,,DEPT,0
IND-297,D22,2022-12-31,,4.38730724676384,,DEPT,0
IND-297,D23,2022-12-31,,5.40938213287977,,DEPT,40.00021085299071
IND-297,D24,2022-12-31,,6.08277020720553,,DEPT,23.94574588176025
IND-297,D25,2022-12-31,,3.51423889822247,,DEPT,0
IND-297,D26,2022-12-31,,4.31594878079145,,DEPT,0
IND-297,D27,2022-12-31,,4.43221526111575,,DEPT,0
IND-297,D28,2022-12-31,,4.43127219024691,,DEPT,0
IND-297,D29,2022-12-31,,3.17743488374074,,DEPT,87.29882664368832
IND-297,D2A,2022-12-31,,2.6,,DEPT,
IND-297,D2B,2022-12-31,,2.6,,DEPT,
IND-297,D30,2022-12-31,,2.52125009702435,,DEPT,100
IND-297,D31,2022-12-31,,6.9776934197564,,DEPT,0
IND-297,D32,2022-12-31,,3.70056443688525,,DEPT,0
IND-297,D33,2022-12-31,,6.28654178500528,,DEPT,0
IND-297,D34,2022-12-31,,4.71122680506826,,DEPT,0
IND-297,D35,2022-12-31,,12.1510214481632,,DEPT,0
IND-297,D36,2022-12-31,,6.5304473693069,,DEPT,0
IND-297,D37,2022-12-31,,5.3,,DEPT,0
IND-297,D38,2022-12-31,,6.79043388822382,,DEPT,19.613384891722294
IND-297,D39,2022-12-31,,2.87164242216506,,DEPT,100
IND-297,D40,2022-12-31,,4.375930213931,,DEPT,0
IND-297,D41,2022-12-31,,3.9,,DEPT,89.26987073890173
IND-297,D42,2022-12-31,,9.28191899550311,,DEPT,0
IND-297,D43,2022-12-31,,2.83909446437244,,DEPT,100
IND-297,D44,2022-12-31,,4.60633538672142,,DEPT,0
IND-297,D45,2022-12-31,,7.35934291581109,,DEPT,3.6260011183923093
IND-297,D47,2022-12-31,,3.42105555247239,,DEPT,37.43648970328748
IND-297,D48,2022-12-31,,4.11412926566931,,DEPT,0
IND-297,D49,2022-12-31,,3.13183059163725,,DEPT,39.174014396795116
IND-297,D50,2022-12-31,,8.95520137088208,,DEPT,25.276303691400443
IND-297,D51,2022-12-31,,2.18997668790104,,DEPT,100
IND-297,D52,2022-12-31,,2.89092885614205,,DEPT,100
IND-297,D53,2022-12-31,,5.40459246340937,,DEPT,0
IND-297,D54,2022-12-31,,3.79398378458477,,DEPT,11.77957949058111
IND-297,D55,2022-12-31,,1.86506152037405,,DEPT,100
IND-297,D56,2022-12-31,,5.50456628136184,,DEPT,0
IND-297,D57,2022-12-31,,3.96559376049037,,DEPT,0
IND-297,D58,2022-12-31,,3.95580326586487,,DEPT,0
IND-297,D59,2022-12-31,,3.2,,DEPT,0
IND-297,D60,2022-12-31,,5.08265408072573,,DEPT,0
IND-297,D61,2022-12-31,,4.73893079359838,,DEPT,0
IND-297,D62,2022-12-31,,3.79892425598346,,DEPT,0
IND-297,D63,2022-12-31,,6.02840672294471,,DEPT,0
IND-297,D64,2022-12-31,,4.94402663523082,,DEPT,0
IND-297,D65,2022-12-31,,3.20794990747078,,DEPT,0
IND-297,D66,2022-12-31,,4.63585311685096,,DEPT,0
IND-297,D67,2022-12-31,,3.6,,DEPT,62.567495484704125
IND-297,D68,2022-12-31,,3.6,,DEPT,0
IND-297,D69,2022-12-31,,5.28227419397851,,DEPT,0
IND-297,D70,2022-12-31,,3.44177945966866,,DEPT,69.35292259146615
IND-297,D71,2022-12-31,,2.86878304955389,,DEPT,100
IND-297,D72,2022-12-31,,4.14795515114446,,DEPT,0
IND-297,D73,2022-12-31,,3.56464369914062,,DEPT,0
IND-297,D74,2022-12-31,,3.85978482619299,,DEPT,0
IND-297,D75,2022-12-31,,4.99419365029221,,DEPT,0
IND-297,D76,2022-12-31,,5.39535897948429,,DEPT,0
IND-297,D78,2022-12-31,,3.24589153702733,,DEPT,66.42270921293022
IND-297,D79,2022-12-31,,2.89650808988893,,DEPT,100
IND-297,D80,2022-12-31,,3.07471509985668,,DEPT,30.35699984463497
IND-297,D81,2022-12-31,,2.43967855603721,,DEPT,100
IND-297,D82,2022-12-31,,3.03425148536505,,DEPT,0
IND-297,D83,2022-12-31,,3.46028484365752,,DEPT,73.0904685992014
IND-297,D84,2022-12-31,,3.62385064584665,,DEPT,14.63934756716576
IND-297,D85,2022-12-31,,4.29784171951081,,DEPT,9.987993270413655
IND-297,D86,2022-12-31,,3.95302385175321,,DEPT,26.844942659291704
IND-297,D87,2022-12-31,,4.3624728740093,,DEPT,0
IND-297,D88,2022-12-31,,4.84451983453858,,DEPT,0
IND-297,D89,2022-12-31,,6.89526464844363,,DEPT,0
IND-297,D90,2022-12-31,,4.78991715641153,,DEPT,0
IND-297,D91,2022-12-31,,8.85750425791885,,DEPT,0
IND-297,D92,2022-12-31,,5.62826532359287,,DEPT,0
IND-297,D93,2022-12-31,,9.79189985556966,,DEPT,0
IND-297,D94,2022-12-31,,7.07537446349754,,DEPT,35.50869605505295
IND-297,D95,2022-12-31,,5.07829970325441,,DEPT,0
IND-297,D971,2022-12-31,,5.80227420657345,,DEPT,42.44142762977706
IND-297,D972,2022-12-31,,8.90806469044042,,DEPT,0
IND-297,D973,2022-12-31,,4.41901330503882,,DEPT,57.07937715050812
IND-297,D974,2022-12-31,,5.03097146302479,,DEPT,0
IND-297,D976,2022-12-31,,2.94891419326738,,DEPT,100
IND-297,D01,2026-12-31,,,3,DEPT,
IND-297,D02,2026-12-31,,,3,DEPT,
IND-297,D03,2026-12-31,,,3,DEPT,
IND-297,D04,2026-12-31,,,3,DEPT,
IND-297,D05,2026-12-31,,,3,DEPT,
IND-297,D06,2026-12-31,,,3,DEPT,
IND-297,D07,2026-12-31,,,3,DEPT,
