indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille
IND-301,D01,2022-12-31,13,13,,DEPT
IND-301,D02,2022-12-31,15,15,,DEPT
IND-301,D03,2022-12-31,15,15,,DEPT
IND-301,D04,2022-12-31,5,5,,DEPT
IND-301,D05,2022-12-31,7,7,,DEPT
IND-301,D06,2022-12-31,146,146,,DEPT
IND-301,D08,2022-12-31,29,29,,DEPT
IND-301,D09,2022-12-31,6,6,,DEPT
IND-301,D10,2022-12-31,32,32,,DEPT
IND-301,D11,2022-12-31,21,21,,DEPT
IND-301,D12,2022-12-31,14,14,,DEPT
IND-301,D13,2022-12-31,149,149,,DEPT
IND-301,D14,2022-12-31,71,71,,DEPT
IND-301,D16,2022-12-31,8,8,,DEPT
IND-301,D17,2022-12-31,32,32,,DEPT
IND-301,D18,2022-12-31,10,10,,DEPT
IND-301,D19,2022-12-31,14,14,,DEPT
IND-301,D21,2022-12-31,25,25,,DEPT
IND-301,D22,2022-12-31,8,8,,DEPT
IND-301,D23,2022-12-31,4,4,,DEPT
IND-301,D24,2022-12-31,8,8,,DEPT
IND-301,D25,2022-12-31,19,19,,DEPT
IND-301,D26,2022-12-31,9,9,,DEPT
IND-301,D27,2022-12-31,37,37,,DEPT
IND-301,D28,2022-12-31,14,14,,DEPT
IND-301,D29,2022-12-31,43,43,,DEPT
IND-301,D2A,2022-12-31,6,6,,DEPT
IND-301,D2B,2022-12-31,7,7,,DEPT
IND-301,D30,2022-12-31,33,33,,DEPT
IND-301,D31,2022-12-31,113,113,,DEPT
IND-301,D33,2022-12-31,129,129,,DEPT
IND-301,D34,2022-12-31,46,46,,DEPT
IND-301,D35,2022-12-31,46,46,,DEPT
IND-301,D36,2022-12-31,0,0,,DEPT
IND-301,D37,2022-12-31,32,32,,DEPT
IND-301,D38,2022-12-31,68,68,,DEPT
IND-301,D39,2022-12-31,9,9,,DEPT
IND-301,D40,2022-12-31,8,8,,DEPT
IND-301,D41,2022-12-31,8,8,,DEPT
IND-301,D42,2022-12-31,35,35,,DEPT
IND-301,D43,2022-12-31,19,19,,DEPT
IND-301,D44,2022-12-31,64,64,,DEPT
IND-301,D45,2022-12-31,66,66,,DEPT
IND-301,D46,2022-12-31,5,5,,DEPT
IND-301,D47,2022-12-31,44,44,,DEPT
IND-301,D49,2022-12-31,16,16,,DEPT
IND-301,D50,2022-12-31,22,22,,DEPT
IND-301,D51,2022-12-31,30,30,,DEPT
IND-301,D53,2022-12-31,0,0,,DEPT
IND-301,D54,2022-12-31,44,44,,DEPT
IND-301,D56,2022-12-31,14,14,,DEPT
IND-301,D57,2022-12-31,44,44,,DEPT
IND-301,D58,2022-12-31,5,5,,DEPT
IND-301,D59,2022-12-31,123,123,,DEPT
IND-301,D60,2022-12-31,32,32,,DEPT
IND-301,D61,2022-12-31,6,6,,DEPT
IND-301,D62,2022-12-31,35,35,,DEPT
IND-301,D63,2022-12-31,111,111,,DEPT
IND-301,D64,2022-12-31,44,44,,DEPT
IND-301,D65,2022-12-31,20,20,,DEPT
IND-301,D66,2022-12-31,13,13,,DEPT
IND-301,D67,2022-12-31,16,16,,DEPT
IND-301,D68,2022-12-31,33,33,,DEPT
IND-301,D69,2022-12-31,49,49,,DEPT
IND-301,D71,2022-12-31,13,13,,DEPT
IND-301,D72,2022-12-31,6,6,,DEPT
IND-301,D73,2022-12-31,10,10,,DEPT
IND-301,D74,2022-12-31,15,15,,DEPT
IND-301,D75,2022-12-31,165,165,,DEPT
IND-301,D76,2022-12-31,52,52,,DEPT
IND-301,D77,2022-12-31,101,101,,DEPT
IND-301,D78,2022-12-31,61,61,,DEPT
IND-301,D79,2022-12-31,9,9,,DEPT
IND-301,D80,2022-12-31,27,27,,DEPT
IND-301,D81,2022-12-31,12,12,,DEPT
IND-301,D82,2022-12-31,10,10,,DEPT
IND-301,D83,2022-12-31,71,71,,DEPT
IND-301,D84,2022-12-31,37,37,,DEPT
IND-301,D85,2022-12-31,18,18,,DEPT
IND-301,D86,2022-12-31,32,32,,DEPT
IND-301,D87,2022-12-31,67,67,,DEPT
IND-301,D88,2022-12-31,27,27,,DEPT
IND-301,D89,2022-12-31,25,25,,DEPT
IND-301,D91,2022-12-31,48,48,,DEPT
IND-301,D92,2022-12-31,97,97,,DEPT
IND-301,D93,2022-12-31,186,186,,DEPT
IND-301,D94,2022-12-31,101,101,,DEPT
IND-301,D95,2022-12-31,56,56,,DEPT
IND-301,D971,2022-12-31,20,20,,DEPT
IND-301,D972,2022-12-31,87,87,,DEPT
IND-301,D973,2022-12-31,19,19,,DEPT
IND-301,D974,2022-12-31,32,32,,DEPT
IND-301,D976,2022-12-31,0,0,,DEPT
IND-301,R84,2022-12-31,353,353,,REG
IND-301,R27,2022-12-31,102,102,,REG
IND-301,R53,2022-12-31,111,111,,REG
IND-301,R24,2022-12-31,130,130,,REG
IND-301,R94,2022-12-31,13,13,,REG
IND-301,R44,2022-12-31,268,268,,REG
IND-301,R01,2022-12-31,20,20,,REG
IND-301,R03,2022-12-31,19,19,,REG
IND-301,R32,2022-12-31,232,232,,REG
IND-301,R11,2022-12-31,815,815,,REG
IND-301,R04,2022-12-31,32,32,,REG
IND-301,R02,2022-12-31,87,87,,REG
IND-301,R06,2022-12-31,0,0,,REG
IND-301,R28,2022-12-31,188,188,,REG
IND-301,R75,2022-12-31,399,399,,REG
IND-301,R76,2022-12-31,298,298,,REG
IND-301,R52,2022-12-31,104,104,,REG
IND-301,R93,2022-12-31,415,415,,REG
IND-301,FRANCE,2022-12-31,3586,3586,,NAT
