indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille
IND-303,D01,2022-12-01,900,,,DEPT
IND-303,D02,2022-12-01,1029,,,DEPT
IND-303,D03,2022-12-01,658,,,DEPT
IND-303,D04,2022-12-01,230,,,DEPT
IND-303,D05,2022-12-01,263,,,DEPT
IND-303,D06,2022-12-01,3211,,,DEPT
IND-303,D07,2022-12-01,685,,,DEPT
IND-303,D08,2022-12-01,330,,,DEPT
IND-303,D09,2022-12-01,198,,,DEPT
IND-303,D10,2022-12-01,224,,,DEPT
IND-303,D11,2022-12-01,469,,,DEPT
IND-303,D12,2022-12-01,477,,,DEPT
IND-303,D13,2022-12-01,19718,,,DEPT
IND-303,D14,2022-12-01,1459,,,DEPT
IND-303,D15,2022-12-01,100,,,DEPT
IND-303,D16,2022-12-01,163,,,DEPT
IND-303,D17,2022-12-01,933,,,DEPT
IND-303,D18,2022-12-01,475,,,DEPT
IND-303,D19,2022-12-01,209,,,DEPT
IND-303,D21,2022-12-01,538,,,DEPT
IND-303,D22,2022-12-01,625,,,DEPT
IND-303,D23,2022-12-01,53,,,DEPT
IND-303,D24,2022-12-01,458,,,DEPT
IND-303,D25,2022-12-01,881,,,DEPT
IND-303,D26,2022-12-01,538,,,DEPT
IND-303,D27,2022-12-01,1454,,,DEPT
IND-303,D28,2022-12-01,396,,,DEPT
IND-303,D29,2022-12-01,664,,,DEPT
IND-303,D2A,2022-12-01,155,,,DEPT
IND-303,D2B,2022-12-01,110,,,DEPT
IND-303,D30,2022-12-01,1013,,,DEPT
IND-303,D31,2022-12-01,3236,,,DEPT
IND-303,D32,2022-12-01,133,,,DEPT
IND-303,D33,2022-12-01,1836,,,DEPT
IND-303,D34,2022-12-01,4058,,,DEPT
IND-303,D35,2022-12-01,1880,,,DEPT
IND-303,D36,2022-12-01,280,,,DEPT
IND-303,D37,2022-12-01,584,,,DEPT
IND-303,D38,2022-12-01,3029,,,DEPT
IND-303,D39,2022-12-01,256,,,DEPT
IND-303,D40,2022-12-01,368,,,DEPT
