indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-317,D01,2022-07-01,341,,,DEPT,
IND-317,D02,2022-07-01,530,,,DEPT,
IND-317,D03,2022-07-01,372,,,DEPT,
IND-317,D04,2022-07-01,270,,,DEPT,
IND-317,D05,2022-07-01,272,,,DEPT,
IND-317,D06,2022-07-01,1523,,,DEPT,
IND-317,D07,2022-07-01,410,,,DEPT,
IND-317,D08,2022-07-01,652,,,DEPT,
IND-317,D09,2022-07-01,169,,,DEPT,
IND-317,D10,2022-07-01,537,,,DEPT,
IND-317,D11,2022-07-01,463,,,DEPT,
IND-317,D12,2022-07-01,292,,,DEPT,
IND-317,D13,2022-07-01,1653,,,DEPT,
IND-317,D14,2022-07-01,929,,,DEPT,
IND-317,D15,2022-07-01,78,,,DEPT,
IND-317,D16,2022-07-01,341,,,DEPT,
IND-317,D17,2022-07-01,539,,,DEPT,
IND-317,D18,2022-07-01,455,,,DEPT,
IND-317,D19,2022-07-01,200,,,DEPT,
IND-317,D21,2022-07-01,576,,,DEPT,
IND-317,D22,2022-07-01,699,,,DEPT,
IND-317,D23,2022-07-01,50,,,DEPT,
IND-317,D24,2022-07-01,550,,,DEPT,
IND-317,D25,2022-07-01,329,,,DEPT,
IND-317,D26,2022-07-01,612,,,DEPT,
IND-317,D27,2022-07-01,556,,,DEPT,
IND-317,D28,2022-07-01,372,,,DEPT,
IND-317,D29,2022-07-01,934,,,DEPT,
IND-317,D2A,2022-07-01,169,,,DEPT,
IND-317,D2B,2022-07-01,119,,,DEPT,
IND-317,D30,2022-07-01,817,,,DEPT,
IND-317,D31,2022-07-01,1427,,,DEPT,
IND-317,D32,2022-07-01,190,,,DEPT,
IND-317,D33,2022-07-01,1931,,,DEPT,
IND-317,D34,2022-07-01,1069,,,DEPT,
IND-317,D35,2022-07-01,744,,,DEPT,
IND-317,D36,2022-07-01,281,,,DEPT,
IND-317,D37,2022-07-01,790,,,DEPT,
IND-317,D38,2022-07-01,1011,,,DEPT,
IND-317,D39,2022-07-01,112,,,DEPT,
IND-317,D40,2022-07-01,415,,,DEPT,
IND-317,D41,2022-07-01,376,,,DEPT,
IND-317,D42,2022-07-01,725,,,DEPT,
IND-317,D43,2022-07-01,158,,,DEPT,
IND-317,D44,2022-07-01,1140,,,DEPT,
IND-317,D45,2022-07-01,365,,,DEPT,
IND-317,D46,2022-07-01,189,,,DEPT,
IND-317,D47,2022-07-01,430,,,DEPT,
IND-317,D48,2022-07-01,133,,,DEPT,
IND-317,D49,2022-07-01,712,,,DEPT,
IND-317,D50,2022-07-01,543,,,DEPT,
IND-317,D51,2022-07-01,603,,,DEPT,
IND-317,D52,2022-07-01,227,,,DEPT,
IND-317,D53,2022-07-01,229,,,DEPT,
IND-317,D54,2022-07-01,726,,,DEPT,
IND-317,D55,2022-07-01,169,,,DEPT,
IND-317,D56,2022-07-01,700,,,DEPT,
IND-317,D57,2022-07-01,635,,,DEPT,
IND-317,D58,2022-07-01,286,,,DEPT,
IND-317,D59,2022-07-01,2366,,,DEPT,
IND-317,D60,2022-07-01,769,,,DEPT,
IND-317,D61,2022-07-01,385,,,DEPT,
IND-317,D62,2022-07-01,1242,,,DEPT,
IND-317,D63,2022-07-01,658,,,DEPT,
IND-317,D64,2022-07-01,672,,,DEPT,
IND-317,D65,2022-07-01,290,,,DEPT,
IND-317,D66,2022-07-01,490,,,DEPT,
IND-317,D67,2022-07-01,982,,,DEPT,
IND-317,D68,2022-07-01,479,,,DEPT,
IND-317,D69,2022-07-01,1588,,,DEPT,
IND-317,D70,2022-07-01,157,,,DEPT,
IND-317,D71,2022-07-01,390,,,DEPT,
IND-317,D72,2022-07-01,319,,,DEPT,
IND-317,D73,2022-07-01,734,,,DEPT,
IND-317,D74,2022-07-01,884,,,DEPT,
IND-317,D75,2022-07-01,4445,,,DEPT,
IND-317,D76,2022-07-01,935,,,DEPT,
IND-317,D77,2022-07-01,1431,,,DEPT,
IND-317,D78,2022-07-01,1312,,,DEPT,
IND-317,D79,2022-07-01,372,,,DEPT,
IND-317,D80,2022-07-01,587,,,DEPT,
IND-317,D81,2022-07-01,382,,,DEPT,
IND-317,D82,2022-07-01,344,,,DEPT,
IND-317,D83,2022-07-01,1129,,,DEPT,
IND-317,D84,2022-07-01,686,,,DEPT,
IND-317,D85,2022-07-01,520,,,DEPT,
IND-317,D86,2022-07-01,734,,,DEPT,
IND-317,D87,2022-07-01,215,,,DEPT,
IND-317,D88,2022-07-01,190,,,DEPT,
IND-317,D89,2022-07-01,752,,,DEPT,
IND-317,D90,2022-07-01,161,,,DEPT,
IND-317,D91,2022-07-01,1082,,,DEPT,
IND-317,D92,2022-07-01,1815,,,DEPT,
IND-317,D93,2022-07-01,885,,,DEPT,
IND-317,D94,2022-07-01,957,,,DEPT,
IND-317,D95,2022-07-01,799,,,DEPT,
IND-317,D01,2023-02-01,,511,,DEPT,10.29678982434888
IND-317,D02,2023-02-01,,721,,DEPT,20.87431693989071
IND-317,D03,2023-02-01,,508,,DEPT,22.479338842975206
IND-317,D04,2023-02-01,,326,,DEPT,21.455938697318008
IND-317,D05,2023-02-01,,313,,DEPT,23.563218390804597
IND-317,D06,2023-02-01,,2055,,DEPT,34.68057366362451
IND-317,D07,2023-02-01,,432,,DEPT,3.5031847133757963
IND-317,D08,2023-02-01,,709,,DEPT,17.484662576687114
IND-317,D09,2023-02-01,,193,,DEPT,7.570977917981073
IND-317,D10,2023-02-01,,613,,DEPT,25.675675675675674
IND-317,D11,2023-02-01,,660,,DEPT,29.142011834319526
IND-317,D12,2023-02-01,,378,,DEPT,14.675767918088736
IND-317,D13,2023-02-01,,2359,,DEPT,18.135114307731826
IND-317,D14,2023-02-01,,1102,,DEPT,16.22889305816135
IND-317,D15,2023-02-01,,104,,DEPT,7.514450867052023
IND-317,D16,2023-02-01,,406,,DEPT,9.36599423631124
IND-317,D17,2023-02-01,,743,,DEPT,13.802435723951287
IND-317,D18,2023-02-01,,337,,DEPT,-29.5
IND-317,D19,2023-02-01,,256,,DEPT,10.35120147874307
IND-317,D21,2023-02-01,,838,,DEPT,28.26321467098166
IND-317,D22,2023-02-01,,858,,DEPT,14.84593837535014
IND-317,D23,2023-02-01,,125,,DEPT,24.916943521594686
