indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-323,D01,2022-05-01,5447,,,DEPT,
IND-323,D02,2022-05-02,5632,,,DEPT,
IND-323,D03,2022-05-03,4098,,,DEPT,
IND-323,D04,2022-05-04,3790,,,DEPT,
IND-323,D05,2022-05-05,5324,,,DEPT,
IND-323,D06,2022-05-06,8712,,,DEPT,
IND-323,D07,2022-05-07,3676,,,DEPT,
IND-323,D08,2022-05-08,3758,,,DEPT,
IND-323,D09,2022-05-09,1622,,,DEPT,
IND-323,D10,2022-05-10,2976,,,DEPT,
IND-323,D11,2022-05-11,5263,,,DEPT,
IND-323,D12,2022-05-12,2746,,,DEPT,
IND-323,D13,2022-05-13,8446,,,DEPT,
IND-323,D14,2022-05-14,14258,,,DEPT,
IND-323,D15,2022-05-15,3321,,,DEPT,
IND-323,D16,2022-05-16,5936,,,DEPT,
IND-323,D17,2022-05-17,6801,,,DEPT,
IND-323,D18,2022-05-18,5263,,,DEPT,
IND-323,D19,2022-05-19,3527,,,DEPT,
IND-323,D21,2022-05-20,4094,,,DEPT,
IND-323,D22,2022-05-21,8073,,,DEPT,
IND-323,D23,2022-05-22,1551,,,DEPT,
IND-323,D24,2022-05-23,7097,,,DEPT,
IND-323,D25,2022-05-24,9707,,,DEPT,
IND-323,D26,2022-05-25,4015,,,DEPT,
IND-323,D27,2022-05-26,9796,,,DEPT,
IND-323,D28,2022-05-27,1980,,,DEPT,
IND-323,D29,2022-05-28,5811,,,DEPT,
IND-323,D2A,2022-05-29,2306,,,DEPT,
IND-323,D2B,2022-05-30,991,,,DEPT,
IND-323,D30,2022-05-31,6874,,,DEPT,
IND-323,D31,2022-05-31,4280,,,DEPT,
IND-323,D32,2022-05-31,3681,,,DEPT,
IND-323,D33,2022-05-31,13448,,,DEPT,
IND-323,D34,2022-05-31,9105,,,DEPT,
IND-323,D35,2022-05-29,5023,,,DEPT,
IND-323,D36,2022-05-30,4073,,,DEPT,
IND-323,D37,2022-05-31,6107,,,DEPT,
IND-323,D38,2022-05-31,4501,,,DEPT,
IND-323,D39,2022-05-31,3136,,,DEPT,
IND-323,D40,2022-05-31,4765,,,DEPT,
IND-323,D41,2022-05-31,6799,,,DEPT,
IND-323,D42,2022-05-29,5482,,,DEPT,
IND-323,D43,2022-05-30,3516,,,DEPT,
IND-323,D44,2022-05-31,5821,,,DEPT,
IND-323,D45,2022-05-31,5057,,,DEPT,
IND-323,D46,2022-05-31,4213,,,DEPT,
IND-323,D47,2022-05-31,3938,,,DEPT,
IND-323,D48,2022-05-31,4913,,,DEPT,
IND-323,D49,2022-05-29,6825,,,DEPT,
IND-323,D50,2022-05-30,8333,,,DEPT,
IND-323,D51,2022-05-31,4663,,,DEPT,
IND-323,D52,2022-05-31,2543,,,DEPT,
IND-323,D53,2022-05-31,3902,,,DEPT,
IND-323,D54,2022-05-31,3273,,,DEPT,
IND-323,D55,2022-05-31,2635,,,DEPT,
IND-323,D56,2022-05-29,5291,,,DEPT,
IND-323,D57,2022-05-30,6119,,,DEPT,
IND-323,D58,2022-05-31,4092,,,DEPT,
IND-323,D59,2022-05-31,10157,,,DEPT,
IND-323,D60,2022-05-31,5750,,,DEPT,
IND-323,D61,2022-05-31,6508,,,DEPT,
IND-323,D62,2022-05-29,7672,,,DEPT,
IND-323,D63,2022-05-30,3470,,,DEPT,
IND-323,D64,2022-05-31,2980,,,DEPT,
IND-323,D65,2022-05-31,4332,,,DEPT,
IND-323,D66,2022-05-31,6465,,,DEPT,
IND-323,D67,2022-05-31,3769,,,DEPT,
IND-323,D68,2022-05-29,4751,,,DEPT,
IND-323,D69,2022-05-30,5399,,,DEPT,
IND-323,D70,2022-05-31,3116,,,DEPT,
IND-323,D71,2022-05-31,6794,,,DEPT,
IND-323,D72,2022-05-31,4496,,,DEPT,
IND-323,D73,2022-05-31,4549,,,DEPT,
IND-323,D74,2022-05-29,6480,,,DEPT,
IND-323,D75,2022-05-30,2970,,,DEPT,
IND-323,D76,2022-05-31,7289,,,DEPT,
IND-323,D77,2022-05-31,8642,,,DEPT,
IND-323,D78,2022-05-31,3152,,,DEPT,
IND-323,D79,2022-05-31,3822,,,DEPT,
IND-323,D80,2022-05-29,4890,,,DEPT,
IND-323,D81,2022-05-30,2712,,,DEPT,
IND-323,D82,2022-05-31,4781,,,DEPT,
IND-323,D83,2022-05-31,8301,,,DEPT,
IND-323,D84,2022-05-31,5599,,,DEPT,
IND-323,D85,2022-05-31,6020,,,DEPT,
IND-323,D86,2022-05-29,3356,,,DEPT,
IND-323,D87,2022-05-30,2320,,,DEPT,
IND-323,D88,2022-05-31,12044,,,DEPT,
IND-323,D89,2022-05-31,4874,,,DEPT,
IND-323,D90,2022-05-31,230,,,DEPT,
IND-323,D91,2022-05-31,4645,,,DEPT,
IND-323,D92,2022-05-29,2500,,,DEPT,
IND-323,D93,2022-05-30,4114,,,DEPT,
IND-323,D94,2022-05-31,3490,,,DEPT,
IND-323,D95,2022-05-31,2379,,,DEPT,
IND-323,D971,2022-05-31,2122,,,DEPT,
IND-323,D972,2022-05-31,3133,,,DEPT,
IND-323,D973,2022-05-29,1664,,,DEPT,
IND-323,D974,2022-05-30,5721,,,DEPT,
IND-323,D976,2022-05-31,4151,,,DEPT,
IND-323,D01,2023-01-01,,6642,,DEPT,25.321303629766774
IND-323,D02,2023-01-02,,6913,,DEPT,22.457964167403965
IND-323,D03,2023-01-03,,4585,,DEPT,9.812670672681158
IND-323,D04,2023-01-04,,3775,,DEPT,0
IND-323,D05,2023-01-05,,5768,,DEPT,31.938405613041866
IND-323,D06,2023-01-06,,10088,,DEPT,26.272120726580074
IND-323,D07,2023-01-07,,4630,,DEPT,13.73609033816327
IND-323,D08,2023-01-08,,4942,,DEPT,15.356592853091804
IND-323,D09,2023-01-09,,2133,,DEPT,12.163859184291354
IND-323,D10,2023-01-10,,3961,,DEPT,25.6972588614651
IND-323,D11,2023-01-11,,5018,,DEPT,0
IND-323,D12,2023-01-12,,3866,,DEPT,13.179524195953418
IND-323,D13,2023-01-13,,9983,,DEPT,23.220165815923732
IND-323,D14,2023-01-14,,23320,,DEPT,100
IND-323,D15,2023-01-15,,4047,,DEPT,18.340867926299296
IND-323,D16,2023-01-16,,7465,,DEPT,24.40624691718804
IND-323,D17,2023-01-17,,7427,,DEPT,8.19228364493661
IND-323,D18,2023-01-18,,6900,,DEPT,50.502155143393935
IND-323,D19,2023-01-19,,4732,,DEPT,25.283102020029197
IND-323,D21,2023-01-20,,3645,,DEPT,0
IND-323,D22,2023-01-21,,10017,,DEPT,43.55879009458866
IND-323,D23,2023-01-22,,2613,,DEPT,21.42168725234793
IND-323,D24,2023-01-23,,11671,,DEPT,77.80737660299245
IND-323,D25,2023-01-24,,10191,,DEPT,33.35412976900035
IND-323,D26,2023-01-25,,5137,,DEPT,18.88234283593963
IND-323,D27,2023-01-26,,11569,,DEPT,57.23126191284283
IND-323,D28,2023-01-27,,2223,,DEPT,3.6875530367678695
IND-323,D29,2023-01-28,,7974,,DEPT,30.971840195614885
