indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille
IND-328,D01,2022-03-31,2250,,,DEPT
IND-328,D02,2022-03-31,1326,,,DEPT
IND-328,D03,2022-03-31,923,,,DEPT
IND-328,D04,2022-03-31,556,,,DEPT
IND-328,D05,2022-03-31,208,,,DEPT
IND-328,D06,2022-03-31,3779,,,DEPT
IND-328,D07,2022-03-31,701,,,DEPT
IND-328,D08,2022-03-31,650,,,DEPT
IND-328,D09,2022-03-31,300,,,DEPT
IND-328,D10,2022-03-31,912,,,DEPT
IND-328,D11,2022-03-31,1342,,,DEPT
IND-328,D12,2022-03-31,320,,,DEPT
IND-328,D13,2022-03-31,12187,,,DEPT
IND-328,D14,2022-03-31,864,,,DEPT
IND-328,D15,2022-03-31,169,,,DEPT
IND-328,D16,2022-03-31,957,,,DEPT
IND-328,D17,2022-03-31,1645,,,DEPT
IND-328,D18,2022-03-31,863,,,DEPT
IND-328,D19,2022-03-31,463,,,DEPT
IND-328,D21,2022-03-31,1051,,,DEPT
IND-328,D22,2022-03-31,980,,,DEPT
IND-328,D23,2022-03-31,217,,,DEPT
IND-328,D24,2022-03-31,1284,,,DEPT
IND-328,D25,2022-03-31,906,,,DEPT
IND-328,D26,2022-03-31,1850,,,DEPT
IND-328,D27,2022-03-31,1262,,,DEPT
IND-328,D28,2022-03-31,806,,,DEPT
IND-328,D29,2022-03-31,1623,,,DEPT
IND-328,D2A,2022-03-31,181,,,DEPT
IND-328,D2B,2022-03-31,166,,,DEPT
IND-328,D30,2022-03-31,2754,,,DEPT
IND-328,D31,2022-03-31,5869,,,DEPT
IND-328,D32,2022-03-31,404,,,DEPT
IND-328,D33,2022-03-31,8419,,,DEPT
IND-328,D34,2022-03-31,4594,,,DEPT
IND-328,D35,2022-03-31,1888,,,DEPT
IND-328,D36,2022-03-31,512,,,DEPT
IND-328,D37,2022-03-31,1692,,,DEPT
IND-328,D38,2022-03-31,5879,,,DEPT
IND-328,D39,2022-03-31,430,,,DEPT
IND-328,D40,2022-03-31,1221,,,DEPT
IND-328,D41,2022-03-31,829,,,DEPT
IND-328,D42,2022-03-31,2389,,,DEPT
IND-328,D43,2022-03-31,549,,,DEPT
IND-328,D44,2022-03-31,6509,,,DEPT
IND-328,D45,2022-03-31,1591,,,DEPT
IND-328,D46,2022-03-31,323,,,DEPT
IND-328,D47,2022-03-31,948,,,DEPT
IND-328,D48,2022-03-31,101,,,DEPT
IND-328,D49,2022-03-31,1607,,,DEPT
IND-328,D50,2022-03-31,549,,,DEPT
IND-328,D51,2022-03-31,1364,,,DEPT
IND-328,D52,2022-03-31,458,,,DEPT
IND-328,D53,2022-03-31,350,,,DEPT
IND-328,D54,2022-03-31,1094,,,DEPT
IND-328,D55,2022-03-31,431,,,DEPT
IND-328,D56,2022-03-31,1805,,,DEPT
IND-328,D57,2022-03-31,2065,,,DEPT
IND-328,D58,2022-03-31,625,,,DEPT
IND-328,D59,2022-03-31,8990,,,DEPT
IND-328,D60,2022-03-31,1618,,,DEPT
IND-328,D61,2022-03-31,557,,,DEPT
IND-328,D62,2022-03-31,3165,,,DEPT
IND-328,D63,2022-03-31,2223,,,DEPT
IND-328,D64,2022-03-31,1483,,,DEPT
IND-328,D65,2022-03-31,402,,,DEPT
IND-328,D66,2022-03-31,1356,,,DEPT
IND-328,D67,2022-03-31,1991,,,DEPT
IND-328,D68,2022-03-31,1319,,,DEPT
IND-328,D69,2022-03-31,9106,,,DEPT
IND-328,D70,2022-03-31,425,,,DEPT
IND-328,D71,2022-03-31,1418,,,DEPT
IND-328,D72,2022-03-31,1274,,,DEPT
IND-328,D73,2022-03-31,1045,,,DEPT
IND-328,D74,2022-03-31,2831,,,DEPT
IND-328,D75,2022-03-31,10899,,,DEPT
IND-328,D76,2022-03-31,2630,,,DEPT
IND-328,D77,2022-03-31,4420,,,DEPT
IND-328,D78,2022-03-31,4530,,,DEPT
IND-328,D79,2022-03-31,776,,,DEPT
IND-328,D80,2022-03-31,1047,,,DEPT
IND-328,D81,2022-03-31,793,,,DEPT
IND-328,D82,2022-03-31,617,,,DEPT
IND-328,D83,2022-03-31,4477,,,DEPT
IND-328,D84,2022-03-31,2714,,,DEPT
IND-328,D85,2022-03-31,1079,,,DEPT
IND-328,D86,2022-03-31,1140,,,DEPT
IND-328,D87,2022-03-31,1043,,,DEPT
IND-328,D88,2022-03-31,703,,,DEPT
IND-328,D89,2022-03-31,763,,,DEPT
IND-328,D90,2022-03-31,261,,,DEPT
IND-328,D91,2022-03-31,4132,,,DEPT
IND-328,D92,2022-03-31,4928,,,DEPT
IND-328,D93,2022-03-31,6478,,,DEPT
IND-328,D94,2022-03-31,5124,,,DEPT
IND-328,D95,2022-03-31,3607,,,DEPT
IND-328,D971,2022-03-31,965,,,DEPT
IND-328,D972,2022-03-31,574,,,DEPT
IND-328,D973,2022-03-31,1132,,,DEPT
IND-328,D974,2022-03-31,844,,,DEPT
IND-328,D976,2022-03-31,412,,,DEPT
IND-328,D01,2023-03-31,,2476,,DEPT
IND-328,D02,2023-03-31,,1816,,DEPT
IND-328,D03,2023-03-31,,867,,DEPT
IND-328,D04,2023-03-31,,408,,DEPT
IND-328,D05,2023-03-31,,304,,DEPT
IND-328,D06,2023-03-31,,3490,,DEPT
IND-328,D07,2023-03-31,,780,,DEPT
IND-328,D08,2023-03-31,,682,,DEPT
IND-328,D09,2023-03-31,,371,,DEPT
IND-328,D10,2023-03-31,,912,,DEPT
IND-328,D11,2023-03-31,,1562,,DEPT
IND-328,D12,2023-03-31,,344,,DEPT
IND-328,D13,2023-03-31,,11670,,DEPT
IND-328,D14,2023-03-31,,1289,,DEPT
IND-328,D15,2023-03-31,,159,,DEPT
IND-328,D16,2023-03-31,,854,,DEPT
IND-328,D17,2023-03-31,,2320,,DEPT
IND-328,D18,2023-03-31,,1001,,DEPT
IND-328,D19,2023-03-31,,413,,DEPT
IND-328,D21,2023-03-31,,1315,,DEPT
IND-328,D22,2023-03-31,,1396,,DEPT
IND-328,D23,2023-03-31,,297,,DEPT
IND-328,D24,2023-03-31,,1131,,DEPT
IND-328,D25,2023-03-31,,892,,DEPT
IND-328,D26,2023-03-31,,1954,,DEPT
IND-328,D27,2023-03-31,,1495,,DEPT
IND-328,D28,2023-03-31,,892,,DEPT
IND-328,D29,2023-03-31,,2168,,DEPT
IND-328,D2A,2023-03-31,,170,,DEPT
IND-328,D2B,2023-03-31,,152,,DEPT
IND-328,D30,2023-03-31,,2558,,DEPT
IND-328,D31,2023-03-31,,6361,,DEPT
IND-328,D32,2023-03-31,,466,,DEPT
IND-328,D33,2023-03-31,,7397,,DEPT
IND-328,D34,2023-03-31,,4136,,DEPT
IND-328,D35,2023-03-31,,2910,,DEPT
IND-328,D36,2023-03-31,,605,,DEPT
IND-328,D37,2023-03-31,,1727,,DEPT
IND-328,D38,2023-03-31,,5580,,DEPT
IND-328,D39,2023-03-31,,466,,DEPT
IND-328,D40,2023-03-31,,1148,,DEPT
IND-328,D41,2023-03-31,,864,,DEPT
IND-328,D42,2023-03-31,,2604,,DEPT
IND-328,D43,2023-03-31,,443,,DEPT
IND-328,D44,2023-03-31,,6528,,DEPT
IND-328,D45,2023-03-31,,1922,,DEPT
IND-328,D46,2023-03-31,,341,,DEPT
IND-328,D47,2023-03-31,,1112,,DEPT
IND-328,D48,2023-03-31,,63,,DEPT
IND-328,D49,2023-03-31,,1697,,DEPT
IND-328,D50,2023-03-31,,652,,DEPT
IND-328,D51,2023-03-31,,1546,,DEPT
IND-328,D52,2023-03-31,,428,,DEPT
IND-328,D53,2023-03-31,,636,,DEPT
IND-328,D54,2023-03-31,,1401,,DEPT
IND-328,D55,2023-03-31,,434,,DEPT
IND-328,D56,2023-03-31,,2123,,DEPT
IND-328,D57,2023-03-31,,2231,,DEPT
IND-328,D58,2023-03-31,,722,,DEPT
IND-328,D59,2023-03-31,,8561,,DEPT
IND-328,D60,2023-03-31,,1894,,DEPT
IND-328,D61,2023-03-31,,734,,DEPT
IND-328,D62,2023-03-31,,3459,,DEPT
IND-328,D63,2023-03-31,,2872,,DEPT
IND-328,D64,2023-03-31,,1624,,DEPT
IND-328,D65,2023-03-31,,511,,DEPT
IND-328,D66,2023-03-31,,1490,,DEPT
IND-328,D67,2023-03-31,,2130,,DEPT
IND-328,D68,2023-03-31,,1617,,DEPT
IND-328,D69,2023-03-31,,9062,,DEPT
IND-328,D70,2023-03-31,,426,,DEPT
IND-328,D71,2023-03-31,,1491,,DEPT
IND-328,D72,2023-03-31,,1819,,DEPT
IND-328,D73,2023-03-31,,1109,,DEPT
IND-328,D74,2023-03-31,,2723,,DEPT
IND-328,D75,2023-03-31,,12321,,DEPT
IND-328,D76,2023-03-31,,2719,,DEPT
IND-328,D77,2023-03-31,,4581,,DEPT
IND-328,D78,2023-03-31,,4691,,DEPT
IND-328,D79,2023-03-31,,795,,DEPT
IND-328,D80,2023-03-31,,1056,,DEPT
IND-328,D81,2023-03-31,,997,,DEPT
IND-328,D82,2023-03-31,,711,,DEPT
IND-328,D83,2023-03-31,,4371,,DEPT
IND-328,D84,2023-03-31,,2963,,DEPT
IND-328,D85,2023-03-31,,1477,,DEPT
IND-328,D86,2023-03-31,,1404,,DEPT
IND-328,D87,2023-03-31,,1017,,DEPT
IND-328,D88,2023-03-31,,740,,DEPT
IND-328,D89,2023-03-31,,1013,,DEPT
IND-328,D90,2023-03-31,,223,,DEPT
IND-328,D91,2023-03-31,,3909,,DEPT
IND-328,D92,2023-03-31,,5412,,DEPT
IND-328,D93,2023-03-31,,6108,,DEPT
IND-328,D94,2023-03-31,,5289,,DEPT
IND-328,D95,2023-03-31,,3781,,DEPT
IND-328,D971,2023-03-31,,948,,DEPT
IND-328,D972,2023-03-31,,760,,DEPT
IND-328,D973,2023-03-31,,1083,,DEPT
IND-328,D974,2023-03-31,,852,,DEPT
IND-328,D976,2023-03-31,,461,,DEPT
IND-328,R84,2022-03-31,29915,,,REG
IND-328,R27,2022-03-31,5879,,,REG
IND-328,R53,2022-03-31,6296,,,REG
IND-328,R24,2022-03-31,6293,,,REG
IND-328,R94,2022-03-31,347,,,REG
IND-328,R44,2022-03-31,10987,,,REG
IND-328,R01,2022-03-31,965,,,REG
IND-328,R03,2022-03-31,1132,,,REG
IND-328,R32,2022-03-31,16146,,,REG
IND-328,R11,2022-03-31,44118,,,REG
IND-328,R04,2022-03-31,844,,,REG
IND-328,R02,2022-03-31,574,,,REG
IND-328,R06,2022-03-31,412,,,REG
IND-328,R28,2022-03-31,5862,,,REG
IND-328,R75,2022-03-31,19596,,,REG
IND-328,R76,2022-03-31,19175,,,REG
IND-328,R52,2022-03-31,10819,,,REG
IND-328,R93,2022-03-31,23921,,,REG
IND-328,R84,2023-03-31,,30629,,REG
IND-328,R27,2023-03-31,,6548,,REG
IND-328,R53,2023-03-31,,8597,,REG
IND-328,R24,2023-03-31,,7011,,REG
IND-328,R94,2023-03-31,,322,,REG
IND-328,R44,2023-03-31,,12121,,REG
IND-328,R01,2023-03-31,,948,,REG
IND-328,R03,2023-03-31,,1083,,REG
IND-328,R32,2023-03-31,,16786,,REG
IND-328,R11,2023-03-31,,46092,,REG
IND-328,R04,2023-03-31,,852,,REG
IND-328,R02,2023-03-31,,760,,REG
IND-328,R06,2023-03-31,,461,,REG
IND-328,R28,2023-03-31,,6889,,REG
IND-328,R75,2023-03-31,,19512,,REG
IND-328,R76,2023-03-31,,19911,,REG
IND-328,R52,2023-03-31,,12157,,REG
IND-328,R93,2023-03-31,,23206,,REG
IND-328,FRANCE,2022-03-31,203281,,,NAT
IND-328,FRANCE,2023-03-31,,213885,,NAT
