indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-232,FRANCE,2023-01-31,NAT,0,,,,,
IND-232,FRANCE,2023-03-31,NAT,,3.599998,,16.17160199527133,,10.568989809227572
IND-232,FRANCE,2023-12-31,NAT,,,22.261233,,,
IND-232,FRANCE,2026-12-31,NAT,,,,,34.061893,
IND-232,R11,2023-01-31,REG,0,,,,,
IND-232,R11,2023-03-31,REG,,0.041463,,9.857403691623002,,3.9517136673080824
IND-232,R11,2023-12-31,REG,,,0.420628,,,
IND-232,R11,2026-12-31,REG,,,,,1.049241,
IND-232,R24,2023-01-31,REG,0,,,,,
IND-232,R24,2023-03-31,REG,,0.181912,,14.606607146728503,,8.256428946519206
IND-232,R24,2023-12-31,REG,,,1.245409,,,
IND-232,R24,2026-12-31,REG,,,,,2.203277,
IND-232,R27,2023-01-31,REG,0,,,,,
IND-232,R27,2023-03-31,REG,,0.132828,,13.874375628027853,,7.376227122134123
IND-232,R27,2023-12-31,REG,,,0.957362,,,
IND-232,R27,2026-12-31,REG,,,,,1.800758,
IND-232,R28,2023-01-31,REG,0,,,,,
IND-232,R28,2023-03-31,REG,,0.052944,,11.74562678173287,,5.324220961605955
IND-232,R28,2023-12-31,REG,,,0.450755,,,
IND-232,R28,2026-12-31,REG,,,,,0.994399,
IND-232,R32,2023-01-31,REG,0,,,,,
IND-232,R32,2023-03-31,REG,,0.090353,,12.871146085150452,,6.327440290485344
IND-232,R32,2023-12-31,REG,,,0.701981,,,
IND-232,R32,2026-12-31,REG,,,,,1.427955,
IND-232,R44,2023-01-31,REG,0,,,,,
IND-232,R44,2023-03-31,REG,,0.242167,,15.276622132167727,,9.165313002893033
IND-232,R44,2023-12-31,REG,,,1.585213,,,
IND-232,R44,2026-12-31,REG,,,,,2.642212,
IND-232,R52,2023-01-31,REG,0,,,,,
IND-232,R52,2023-03-31,REG,,0.194087,,15.55196756384266,,9.571974380307536
IND-232,R52,2023-12-31,REG,,,1.24799,,,
IND-232,R52,2026-12-31,REG,,,,,2.027659,
IND-232,R53,2023-01-31,REG,0,,,,,
IND-232,R53,2023-03-31,REG,,0.075348,,12.94365623759927,,6.397932228517958
IND-232,R53,2023-12-31,REG,,,0.582123,,,
IND-232,R53,2026-12-31,REG,,,,,1.177693,
IND-232,R75,2023-01-31,REG,0,,,,,
IND-232,R75,2023-03-31,REG,,0.928537,,17.38978573865907,,12.938369969686264
IND-232,R75,2023-12-31,REG,,,5.339554,,,
IND-232,R75,2026-12-31,REG,,,,,7.176615,
IND-232,R76,2023-01-31,REG,0,,,,,
IND-232,R76,2023-03-31,REG,,0.747665,,17.363995601317747,,12.881447917025602
IND-232,R76,2023-12-31,REG,,,4.305835,,,
IND-232,R76,2026-12-31,REG,,,,,5.8042,
IND-232,R84,2023-01-31,REG,0,,,,,
IND-232,R84,2023-03-31,REG,,0.403011,,16.511072153874075,,11.1693273698698
IND-232,R84,2023-12-31,REG,,,2.440853,,,
IND-232,R84,2026-12-31,REG,,,,,3.608194,
IND-232,R93,2023-01-31,REG,0,,,,,
IND-232,R93,2023-03-31,REG,,0.509683,,17.083220212298855,,12.282435555427032
IND-232,R93,2023-12-31,REG,,,2.98353,,,
IND-232,R93,2026-12-31,REG,,,,,4.14969,
