indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille,indic_ta
IND-237,D01,2022-07-01,0,,,DEPT,
IND-237,D02,2022-07-01,0,,,DEPT,
IND-237,D03,2022-07-01,0,,,DEPT,
IND-237,D04,2022-07-01,0,,,DEPT,
IND-237,D05,2022-07-01,0,,,DEPT,
IND-237,D06,2022-07-01,0,,,DEPT,
IND-237,D07,2022-07-01,0,,,DEPT,
IND-237,D08,2022-07-01,0,,,DEPT,
IND-237,D09,2022-07-01,0,,,DEPT,
IND-237,D10,2022-07-01,0,,,DEPT,
IND-237,D11,2022-07-01,0,,,DEPT,
IND-237,D12,2022-07-01,0,,,DEPT,
IND-237,D13,2022-07-01,0,,,DEPT,
IND-237,D14,2022-07-01,0,,,DEPT,
IND-237,D15,2022-07-01,0,,,DEPT,
IND-237,D16,2022-07-01,0,,,DEPT,
IND-237,D17,2022-07-01,0,,,DEPT,
IND-237,D18,2022-07-01,0,,,DEPT,
IND-237,D19,2022-07-01,0,,,DEPT,
IND-237,D21,2022-07-01,0,,,DEPT,
IND-237,D22,2022-07-01,0,,,DEPT,
IND-237,D23,2022-07-01,0,,,DEPT,
IND-237,D24,2022-07-01,0,,,DEPT,
IND-237,D25,2022-07-01,0,,,DEPT,
IND-237,D26,2022-07-01,0,,,DEPT,
IND-237,D27,2022-07-01,0,,,DEPT,
IND-237,D28,2022-07-01,0,,,DEPT,
IND-237,D29,2022-07-01,0,,,DEPT,
IND-237,D2A,2022-07-01,0,,,DEPT,
IND-237,D2B,2022-07-01,0,,,DEPT,
IND-237,D30,2022-07-01,0,,,DEPT,
IND-237,D31,2022-07-01,0,,,DEPT,
IND-237,D32,2022-07-01,0,,,DEPT,
IND-237,D33,2022-07-01,0,,,DEPT,
IND-237,D34,2022-07-01,0,,,DEPT,
IND-237,D35,2022-07-01,0,,,DEPT,
IND-237,D36,2022-07-01,0,,,DEPT,
IND-237,D37,2022-07-01,0,,,DEPT,
IND-237,D38,2022-07-01,0,,,DEPT,
IND-237,D39,2022-07-01,0,,,DEPT,
IND-237,D40,2022-07-01,0,,,DEPT,
IND-237,D41,2022-07-01,0,,,DEPT,
IND-237,D42,2022-07-01,0,,,DEPT,
IND-237,D43,2022-07-01,0,,,DEPT,
IND-237,D44,2022-07-01,0,,,DEPT,
IND-237,D45,2022-07-01,0,,,DEPT,
IND-237,D46,2022-07-01,0,,,DEPT,
IND-237,D47,2022-07-01,0,,,DEPT,
IND-237,D48,2022-07-01,0,,,DEPT,
IND-237,D49,2022-07-01,0,,,DEPT,
IND-237,D50,2022-07-01,0,,,DEPT,
IND-237,D51,2022-07-01,0,,,DEPT,
IND-237,D52,2022-07-01,0,,,DEPT,
IND-237,D53,2022-07-01,0,,,DEPT,
IND-237,D54,2022-07-01,0,,,DEPT,
IND-237,D55,2022-07-01,0,,,DEPT,
IND-237,D56,2022-07-01,0,,,DEPT,
IND-237,D57,2022-07-01,0,,,DEPT,
IND-237,D58,2022-07-01,0,,,DEPT,
IND-237,D59,2022-07-01,0,,,DEPT,
IND-237,D60,2022-07-01,0,,,DEPT,
IND-237,D61,2022-07-01,0,,,DEPT,
IND-237,D62,2022-07-01,0,,,DEPT,
IND-237,D63,2022-07-01,0,,,DEPT,
IND-237,D64,2022-07-01,0,,,DEPT,
IND-237,D65,2022-07-01,0,,,DEPT,
