indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-504,D01,2023-07-31,DEPT,0,0,,0
IND-504,D01,2026-12-31,DEPT,,,2.5,
IND-504,D02,2023-07-31,DEPT,0,0,,0
IND-504,D02,2026-12-31,DEPT,,,2.5,
IND-504,D03,2023-07-31,DEPT,0,0,,0
IND-504,D03,2026-12-31,DEPT,,,2.5,
IND-504,D04,2023-07-31,DEPT,0,0,,0
IND-504,D04,2026-12-31,DEPT,,,2.5,
IND-504,D05,2023-07-31,DEPT,0,0,,0
IND-504,D05,2026-12-31,DEPT,,,2.5,
IND-504,D06,2023-07-31,DEPT,0,0,,0
IND-504,D06,2026-12-31,DEPT,,,2.5,
IND-504,D07,2023-07-31,DEPT,0,0,,0
IND-504,D07,2026-12-31,DEPT,,,2.5,
IND-504,D08,2023-07-31,DEPT,0,0,,0
IND-504,D08,2026-12-31,DEPT,,,2.5,
IND-504,D09,2023-07-31,DEPT,0,0,,0
IND-504,D09,2026-12-31,DEPT,,,2.5,
IND-504,D10,2023-07-31,DEPT,0,0,,0
IND-504,D10,2026-12-31,DEPT,,,2.5,
IND-504,D11,2023-07-31,DEPT,0,0,,0
IND-504,D11,2026-12-31,DEPT,,,2.5,
IND-504,D12,2023-07-31,DEPT,0,0,,0
IND-504,D12,2026-12-31,DEPT,,,2.5,
IND-504,D13,2023-07-31,DEPT,0,0,,0
IND-504,D13,2026-12-31,DEPT,,,2.5,
IND-504,D14,2023-07-31,DEPT,0,0,,0
IND-504,D14,2026-12-31,DEPT,,,2.5,
IND-504,D15,2023-07-31,DEPT,0,0,,0
IND-504,D15,2026-12-31,DEPT,,,2.5,
IND-504,D16,2023-07-31,DEPT,0,0,,0
IND-504,D16,2026-12-31,DEPT,,,2.5,
IND-504,D17,2023-07-31,DEPT,0,0,,0
IND-504,D17,2026-12-31,DEPT,,,2.5,
IND-504,D18,2023-07-31,DEPT,0,0,,0
IND-504,D18,2026-12-31,DEPT,,,2.5,
IND-504,D19,2023-07-31,DEPT,0,0,,0
IND-504,D19,2026-12-31,DEPT,,,2.5,
IND-504,D21,2023-07-31,DEPT,0,0,,0
IND-504,D21,2026-12-31,DEPT,,,2.5,
IND-504,D22,2023-07-31,DEPT,0,0,,0
IND-504,D22,2026-12-31,DEPT,,,2.5,
IND-504,D23,2023-07-31,DEPT,0,0,,0
IND-504,D23,2026-12-31,DEPT,,,2.5,
IND-504,D24,2023-07-31,DEPT,0,0,,0
IND-504,D24,2026-12-31,DEPT,,,2.5,
IND-504,D25,2023-07-31,DEPT,0,0,,0
IND-504,D25,2026-12-31,DEPT,,,2.5,
IND-504,D26,2023-07-31,DEPT,0,0,,0
IND-504,D26,2026-12-31,DEPT,,,2.5,
IND-504,D27,2023-07-31,DEPT,0,0,,0
IND-504,D27,2026-12-31,DEPT,,,2.5,
IND-504,D28,2023-07-31,DEPT,0,0,,0
IND-504,D28,2026-12-31,DEPT,,,2.5,
IND-504,D29,2023-07-31,DEPT,0,0,,0
IND-504,D29,2026-12-31,DEPT,,,2.5,
IND-504,D2A,2023-07-31,DEPT,0,0,,0
IND-504,D2A,2026-12-31,DEPT,,,2.5,
IND-504,D2B,2023-07-31,DEPT,0,0,,0
IND-504,D2B,2026-12-31,DEPT,,,2.5,
IND-504,D30,2023-07-31,DEPT,0,0,,0
IND-504,D30,2026-12-31,DEPT,,,2.5,
IND-504,D31,2023-07-31,DEPT,0,0,,0
IND-504,D31,2026-12-31,DEPT,,,2.5,
IND-504,D32,2023-07-31,DEPT,0,0,,0
IND-504,D32,2026-12-31,DEPT,,,2.5,
IND-504,D33,2023-07-31,DEPT,0,0,,0
IND-504,D33,2026-12-31,DEPT,,,2.5,
IND-504,D34,2023-07-31,DEPT,0,0,,0
IND-504,D34,2026-12-31,DEPT,,,2.5,
IND-504,D35,2023-07-31,DEPT,0,0,,0
IND-504,D35,2026-12-31,DEPT,,,2.5,
IND-504,D36,2023-07-31,DEPT,0,0,,0
IND-504,D36,2026-12-31,DEPT,,,2.5,
