indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-298,D01,2021-12-31,DEPT,,909,,
IND-298,D01,2022-03-31,DEPT,,1687,,
IND-298,D01,2022-06-30,DEPT,3510,2462,,
IND-298,D01,2022-09-30,DEPT,,3224,,
IND-298,D02,2021-12-31,DEPT,,630,,
IND-298,D02,2022-03-31,DEPT,,1224,,
IND-298,D02,2022-06-30,DEPT,2543,1792,,
IND-298,D02,2022-09-30,DEPT,,2336,,
IND-298,D03,2021-12-31,DEPT,,357,,
IND-298,D03,2022-03-31,DEPT,,687,,
IND-298,D03,2022-06-30,DEPT,1387,967,,
IND-298,D03,2022-09-30,DEPT,,1242,,
IND-298,D04,2021-12-31,DEPT,,177,,
IND-298,D04,2022-03-31,DEPT,,333,,
IND-298,D04,2022-06-30,DEPT,669,483,,
IND-298,D04,2022-09-30,DEPT,,631,,
IND-298,D05,2021-12-31,DEPT,,164,,
IND-298,D05,2022-03-31,DEPT,,299,,
IND-298,D05,2022-06-30,DEPT,652,452,,
IND-298,D05,2022-09-30,DEPT,,570,,
IND-298,D06,2021-12-31,DEPT,,1287,,
IND-298,D06,2022-03-31,DEPT,,2359,,
IND-298,D06,2022-06-30,DEPT,5076,3554,,
IND-298,D06,2022-09-30,DEPT,,4694,,
IND-298,D07,2021-12-31,DEPT,,388,,
IND-298,D07,2022-03-31,DEPT,,765,,
IND-298,D07,2022-06-30,DEPT,1606,1121,,
IND-298,D07,2022-09-30,DEPT,,1433,,
IND-298,D08,2021-12-31,DEPT,,273,,
IND-298,D08,2022-03-31,DEPT,,571,,
IND-298,D08,2022-06-30,DEPT,1198,832,,
IND-298,D08,2022-09-30,DEPT,,1075,,
IND-298,D09,2021-12-31,DEPT,,141,,
IND-298,D09,2022-03-31,DEPT,,262,,
IND-298,D09,2022-06-30,DEPT,559,387,,
IND-298,D09,2022-09-30,DEPT,,511,,
IND-298,D10,2021-12-31,DEPT,,305,,
IND-298,D10,2022-03-31,DEPT,,618,,
IND-298,D10,2022-06-30,DEPT,1289,891,,
IND-298,D10,2022-09-30,DEPT,,1152,,
IND-298,D11,2021-12-31,DEPT,,320,,
IND-298,D11,2022-03-31,DEPT,,640,,
IND-298,D11,2022-06-30,DEPT,1358,939,,
IND-298,D11,2022-09-30,DEPT,,1204,,
IND-298,D12,2021-12-31,DEPT,,318,,
