indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-338,D01,2022-12-31,DEPT,0,,,
IND-338,D01,2023-03-31,DEPT,,83.943662,,0
IND-338,D01,2023-06-30,DEPT,,87.8,,99.7727272727
IND-338,D01,2023-12-31,DEPT,,,85,
IND-338,D01,2024-12-31,DEPT,,,86,
IND-338,D01,2025-12-31,DEPT,,,87,
IND-338,D01,2026-12-31,DEPT,,,88,
IND-338,D02,2022-12-31,DEPT,0,,,
IND-338,D02,2023-03-31,DEPT,,75.121951,,0
IND-338,D02,2023-06-30,DEPT,,82.5,,93.75
IND-338,D02,2023-12-31,DEPT,,,85,
IND-338,D02,2024-12-31,DEPT,,,86,
IND-338,D02,2025-12-31,DEPT,,,87,
IND-338,D02,2026-12-31,DEPT,,,88,
IND-338,D03,2022-12-31,DEPT,0,,,
IND-338,D03,2023-03-31,DEPT,,87.581699,,0
IND-338,D03,2023-06-30,DEPT,,88.4,,100
IND-338,D03,2023-12-31,DEPT,,,85,
IND-338,D03,2024-12-31,DEPT,,,86,
IND-338,D03,2025-12-31,DEPT,,,87,
IND-338,D03,2026-12-31,DEPT,,,88,
IND-338,D04,2022-12-31,DEPT,0,,,
IND-338,D04,2023-03-31,DEPT,,17.625899,,0
IND-338,D04,2023-06-30,DEPT,,95.9,,100
IND-338,D04,2023-12-31,DEPT,,,85,
IND-338,D04,2024-12-31,DEPT,,,86,
IND-338,D04,2025-12-31,DEPT,,,87,
IND-338,D04,2026-12-31,DEPT,,,88,
IND-338,D05,2022-12-31,DEPT,0,,,
IND-338,D05,2023-03-31,DEPT,,81.437126,,28.75695732838594
IND-338,D05,2023-06-30,DEPT,,78.9,,89.6590909091
IND-338,D05,2023-12-31,DEPT,,,85,
IND-338,D05,2024-12-31,DEPT,,,86,
IND-338,D05,2025-12-31,DEPT,,,87,
IND-338,D05,2026-12-31,DEPT,,,88,
IND-338,D06,2022-12-31,DEPT,0,,,
IND-338,D06,2023-03-31,DEPT,,76.363636,,0
IND-338,D06,2023-06-30,DEPT,,82.3,,93.5227272727
IND-338,D06,2023-12-31,DEPT,,,85,
IND-338,D06,2024-12-31,DEPT,,,86,
IND-338,D06,2025-12-31,DEPT,,,87,
IND-338,D06,2026-12-31,DEPT,,,88,
IND-338,D07,2022-12-31,DEPT,0,,,
IND-338,D07,2023-03-31,DEPT,,79.190751,,0
IND-338,D07,2023-06-30,DEPT,,79.6,,90.4545454545
IND-338,D07,2023-12-31,DEPT,,,85,
IND-338,D07,2024-12-31,DEPT,,,86,
IND-338,D07,2025-12-31,DEPT,,,87,
IND-338,D07,2026-12-31,DEPT,,,88,
IND-338,D08,2022-12-31,DEPT,0,,,
IND-338,D08,2023-03-31,DEPT,,77.876106,,0
IND-338,D08,2023-06-30,DEPT,,92.6,,100
IND-338,D08,2023-12-31,DEPT,,,85,
IND-338,D08,2024-12-31,DEPT,,,86,
IND-338,D08,2025-12-31,DEPT,,,87,
